Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sun, Jan 7",@ GSW,"W, 133-118",31,6,8,75.0,0,0,0.0,2,5,40.0,3,8,11,5,2,0,0,3,14
"Fri, Jan 5",@ SAC,"L, 130-135",23,7,10,70.0,0,0,0.0,0,0,0.0,1,5,6,2,3,0,3,6,14
"Wed, Jan 3",@ MEM,"W, 116-111",33,2,7,28.6,0,0,0.0,3,4,75.0,3,5,8,2,1,1,5,3,7
"Mon, Jan 1",vs. CLE,"W, 121-124",37,5,8,62.5,0,0,0.0,4,7,57.1,4,7,11,4,4,0,3,4,14
"Sat, Dec 30",@ DET,"L, 127-129",35,2,4,50.0,0,0,0.0,0,0,0.0,2,12,14,5,0,1,3,4,4
"Fri, Dec 29",@ BOS,"L, 118-120",22,5,8,62.5,0,0,0.0,2,2,100.0,4,6,10,3,0,0,2,3,12
"Wed, Dec 27",@ WAS,"W, 132-102",21,4,6,66.7,0,0,0.0,2,4,50.0,3,5,8,2,2,2,1,4,10
"Sat, Dec 23",vs. UTH,"L, 126-119",21,1,4,25.0,0,0,0.0,0,0,0.0,2,2,4,3,0,0,2,2,2
"Fri, Dec 22",@ PHI,"L, 111-121",29,9,15,60.0,0,0,0.0,1,2,50.0,2,6,8,2,1,1,0,3,19
"Wed, Dec 20",vs. DEN,"L, 113-104",19,2,5,40.0,0,0,0.0,0,0,0.0,2,3,5,3,1,0,2,2,4
"Mon, Dec 18",vs. CHA,"W, 99-114",15,2,2,100.0,0,0,0.0,0,0,0.0,0,1,1,2,4,0,0,3,4
