Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. NOR,"L, 110-99",38,11,20,55.0,5,12,41.7,4,4,100.0,0,4,4,4,3,3,2,3,31
"Mon, Jan 29",vs. LAL,"W, 119-135",41,12,23,52.2,4,10,40.0,6,6,100.0,3,9,12,7,1,1,0,1,34
"Sat, Jan 27",@ BKN,"L, 104-106",33,5,14,35.7,4,9,44.4,5,5,100.0,1,9,10,1,1,1,0,3,19
"Fri, Jan 26",@ CHA,"W, 138-104",28,12,20,60.0,1,7,14.3,11,12,91.7,0,10,10,4,3,2,0,0,36
"Wed, Jan 24",vs. POR,"L, 137-131",39,12,24,50.0,2,7,28.6,3,4,75.0,0,0,0,3,1,1,1,1,29
"Sun, Jan 21",vs. BOS,"L, 116-107",32,7,18,38.9,1,6,16.7,1,3,33.3,1,3,4,5,3,1,0,0,16
"Sat, Jan 20",vs. UTH,"W, 126-127",28,3,12,25.0,0,6,0.0,1,1,100.0,0,3,3,4,1,1,0,0,7
"Wed, Jan 17",@ NYK,"L, 94-109",29,6,15,40.0,0,5,0.0,3,3,100.0,0,7,7,1,5,1,0,2,15
"Mon, Jan 15",@ PHI,"L, 115-124",27,7,16,43.8,1,7,14.3,5,7,71.4,0,5,5,3,2,0,0,2,20
"Sat, Jan 13",@ BOS,"L, 113-145",20,3,9,33.3,2,5,40.0,2,2,100.0,0,3,3,1,1,0,0,0,10
"Fri, Jan 12",@ DET,"W, 112-110",39,9,25,36.0,2,9,22.2,8,9,88.9,2,2,4,3,1,2,1,3,28
