Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ BOS,"W, 114-105",1,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,0,0,1
"Tue, Jan 30",@ ATL,"L, 122-138",3,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,0,2
"Mon, Jan 29",@ HOU,"L, 119-135",2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0
"Tue, Jan 23",@ LAC,"L, 116-127",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0
"Sun, Jan 21",vs. POR,"W, 110-134",6,1,1,100.0,0,0,0.0,2,2,100.0,0,1,1,1,1,1,0,0,4
"Fri, Jan 19",vs. BKN,"L, 130-112",3,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,1,0
"Thu, Jan 11",vs. PHO,"L, 127-109",5,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
"Wed, Jan 3",vs. MIA,"L, 110-96",6,0,4,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0
"Sun, Dec 31",@ NOR,"L, 109-129",5,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2
"Thu, Dec 28",vs. CHA,"W, 112-133",7,1,5,20.0,0,1,0.0,0,0,0.0,0,0,0,1,1,1,0,1,2
"Thu, Dec 7",vs. NOR,"W, 89-133",8,0,3,0.0,0,0,0.0,1,2,50.0,1,3,4,1,1,0,1,1,1
