Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 30",@ CHI,"W, 118-107",14,3,6,50.0,2,3,66.7,0,0,0.0,1,2,3,2,1,1,0,1,8
"Fri, Jan 26",vs. LAC,"L, 127-107",2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sat, Jan 20",@ NYK,"L, 100-126",4,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
"Wed, Jan 17",vs. MIA,"W, 97-121",2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0
"Mon, Jan 15",vs. BOS,"L, 105-96",12,2,5,40.0,1,3,33.3,0,2,0.0,1,1,2,0,0,0,0,0,5
"Fri, Jan 12",@ UTH,"L, 113-145",8,4,5,80.0,0,0,0.0,7,10,70.0,2,1,3,0,1,1,0,0,15
"Wed, Jan 10",@ LAC,"L, 120-126",13,1,2,50.0,0,0,0.0,0,0,0.0,0,3,3,1,0,1,0,2,2
"Sun, Jan 7",@ GSW,"W, 133-118",4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
"Fri, Jan 5",@ SAC,"L, 130-135",7,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2
"Sat, Dec 30",@ DET,"L, 127-129",17,0,3,0.0,0,1,0.0,2,2,100.0,0,1,1,0,1,0,0,3,2
"Fri, Dec 29",@ BOS,"L, 118-120",15,5,10,50.0,2,7,28.6,1,2,50.0,0,0,0,2,0,1,0,4,13
