Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ NYK,"L, 105-109",24,9,11,81.8,2,3,66.7,0,1,0.0,1,8,9,0,1,2,2,0,20
"Tue, Jan 30",@ BOS,"L, 124-129",21,2,6,33.3,0,3,0.0,3,3,100.0,2,2,4,2,0,0,0,2,7
"Sun, Jan 28",vs. MEM,"W, 110-116",30,8,13,61.5,3,6,50.0,0,0,0.0,3,7,10,2,1,0,2,4,19
"Fri, Jan 26",vs. PHO,"W, 131-133",20,6,11,54.5,1,3,33.3,0,1,0.0,5,5,10,0,2,1,1,2,13
"Thu, Jan 25",vs. PHI,"W, 122-134",9,3,4,75.0,0,1,0.0,0,1,0.0,1,0,1,0,0,0,2,6,6
"Sun, Jan 21",@ PHO,"L, 110-117",19,5,5,100.0,3,3,100.0,2,4,50.0,2,2,4,1,1,1,2,0,15
"Fri, Jan 19",@ POR,"L, 115-118",14,2,5,40.0,1,1,100.0,2,2,100.0,2,1,3,0,1,0,0,2,7
"Thu, Jan 18",@ SAC,"W, 126-121",25,6,7,85.7,1,2,50.0,4,4,100.0,1,12,13,1,0,0,1,3,17
"Mon, Jan 15",@ UTH,"L, 105-132",19,5,10,50.0,2,5,40.0,0,0,0.0,1,5,6,3,2,0,1,5,12
"Sun, Jan 14",@ DEN,"L, 109-117",25,4,7,57.1,0,1,0.0,0,1,0.0,2,1,3,3,0,0,0,2,8
"Fri, Jan 12",@ ATL,"W, 126-108",19,3,7,42.9,0,0,0.0,0,0,0.0,3,4,7,0,0,0,0,1,6
