Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Mon, Jan 29",vs. NYK,"L, 113-92",2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
"Fri, Jan 26",vs. HOU,"L, 138-104",7,2,6,33.3,1,4,25.0,0,0,0.0,0,0,0,0,0,0,0,0,5
"Wed, Jan 17",@ NOR,"L, 112-132",4,2,3,66.7,2,2,100.0,0,0,0.0,0,0,0,0,0,0,0,0,6
"Sun, Jan 14",@ MIA,"L, 87-104",2,0,1,0.0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,0,0,1
"Fri, Jan 12",@ SAS,"L, 99-135",6,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0
"Wed, Jan 10",vs. SAC,"L, 123-98",20,3,8,37.5,2,6,33.3,0,0,0.0,0,0,0,1,0,0,0,0,8
"Mon, Jan 8",vs. CHI,"L, 119-112",4,1,1,100.0,1,1,100.0,0,0,0.0,0,2,2,2,0,0,0,1,3
"Mon, Jan 1",@ DEN,"L, 93-111",4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0
"Thu, Dec 28",@ LAL,"L, 112-133",6,2,3,66.7,1,1,100.0,0,0,0.0,0,2,2,1,0,0,0,0,5
"Wed, Dec 20",@ IND,"L, 113-144",6,1,3,33.3,1,3,33.3,0,0,0.0,0,2,2,0,1,0,0,0,3
"Sat, Dec 16",vs. PHI,"L, 135-82",7,3,5,60.0,3,5,60.0,0,0,0.0,0,1,1,0,0,0,0,1,9
