Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sun, Jan 21",@ PHO,"L, 110-117",18,4,6,66.7,2,3,66.7,0,0,0.0,3,6,9,1,1,1,0,0,10
"Thu, Jan 18",@ SAC,"W, 126-121",20,6,13,46.2,3,8,37.5,0,0,0.0,1,1,2,2,2,0,0,1,15
"Mon, Jan 15",@ UTH,"L, 105-132",26,3,11,27.3,2,5,40.0,0,0,0.0,2,2,4,4,1,4,2,2,8
"Sat, Jan 6",vs. BOS,"L, 118-101",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
"Fri, Jan 5",vs. ATL,"W, 116-150",12,3,6,50.0,2,3,66.7,0,0,0.0,1,0,1,1,1,0,0,1,8
"Wed, Jan 3",vs. MIL,"W, 130-142",2,0,0,0.0,0,0,0.0,3,4,75.0,0,0,0,0,0,0,0,0,3
"Sat, Dec 30",vs. NYK,"W, 126-140",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sat, Dec 16",@ MIN,"L, 109-127",24,2,3,66.7,1,2,50.0,0,0,0.0,0,2,2,3,1,2,0,2,5
"Fri, Dec 15",@ WAS,"L, 123-137",13,2,4,50.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,0,1,5
"Wed, Dec 13",@ MIL,"L, 126-140",6,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,2,1,0,1,4,3
"Thu, Nov 30",@ MIA,"L, 132-142",0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
