Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ BOS,"W, 114-105",16,3,7,42.9,2,3,66.7,2,2,100.0,3,4,7,2,3,3,0,0,10
"Tue, Jan 30",@ ATL,"L, 122-138",26,6,6,100.0,0,0,0.0,0,1,0.0,1,3,4,3,2,2,0,2,12
"Mon, Jan 29",@ HOU,"L, 119-135",7,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0,0,0,1,0,0,3
"Sat, Jan 27",@ GSW,"W, 145-144",41,4,7,57.1,0,0,0.0,6,8,75.0,2,7,9,5,2,4,0,1,14
"Thu, Jan 25",vs. CHI,"W, 132-141",27,8,11,72.7,1,1,100.0,0,1,0.0,0,5,5,0,2,3,1,2,17
"Tue, Jan 23",@ LAC,"L, 116-127",25,4,10,40.0,0,1,0.0,4,4,100.0,6,3,9,2,2,3,1,3,12
"Sun, Jan 21",vs. POR,"W, 110-134",21,2,3,66.7,0,0,0.0,0,0,0.0,2,2,4,2,3,2,0,1,4
"Fri, Jan 19",vs. BKN,"L, 130-112",19,5,5,100.0,2,2,100.0,0,0,0.0,0,5,5,0,0,0,0,0,12
"Wed, Jan 17",vs. DAL,"W, 110-127",26,1,3,33.3,0,1,0.0,5,8,62.5,1,8,9,1,1,1,0,3,7
"Mon, Jan 15",vs. OKC,"W, 105-112",18,2,2,100.0,0,0,0.0,1,1,100.0,0,4,4,2,0,3,0,0,5
"Sat, Jan 13",@ UTH,"L, 125-132",23,2,2,100.0,1,1,100.0,0,0,0.0,2,1,3,1,2,1,0,4,5
