Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DEN,"W, 100-105",18,4,6,66.7,1,2,50.0,0,0,0.0,1,2,3,2,1,0,1,1,9
"Mon, Jan 29",vs. MIN,"L, 107-101",16,1,3,33.3,0,1,0.0,0,1,0.0,0,3,3,2,0,1,2,0,2
"Sun, Jan 28",@ DET,"L, 104-120",15,1,4,25.0,0,3,0.0,0,0,0.0,1,2,3,2,1,1,1,2,2
"Fri, Jan 26",@ NOR,"W, 107-83",15,0,2,0.0,0,1,0.0,0,0,0.0,1,5,6,1,0,1,0,2,0
"Wed, Jan 24",@ SAS,"W, 140-114",11,2,3,66.7,2,2,100.0,0,0,0.0,1,3,4,0,1,0,0,2,6
"Tue, Jan 23",vs. POR,"W, 109-111",15,3,5,60.0,1,2,50.0,0,1,0.0,0,2,2,1,0,1,1,1,7
"Sat, Jan 20",@ MIN,"W, 102-97",12,2,3,66.7,1,2,50.0,0,0,0.0,0,1,1,0,1,0,2,1,5
"Thu, Jan 18",@ UTH,"W, 134-129",11,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,0,1,2,1,2,0
"Mon, Jan 15",@ LAL,"L, 105-112",6,1,3,33.3,1,3,33.3,0,0,0.0,1,0,1,0,0,0,0,0,3
"Thu, Jan 11",vs. POR,"W, 77-139",18,2,6,33.3,2,4,50.0,0,0,0.0,0,4,4,1,2,1,0,0,6
"Wed, Jan 10",@ MIA,"W, 128-120",12,1,2,50.0,1,2,50.0,0,0,0.0,0,2,2,4,0,0,0,2,3
