Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. MIL,"W, 116-119",38,7,14,50.0,0,1,0.0,4,4,100.0,0,3,3,4,0,2,0,3,18
"Mon, Jan 29",vs. PHI,"W, 104-130",31,7,13,53.8,1,2,50.0,12,13,92.3,3,2,5,3,3,0,1,4,27
"Sun, Jan 28",vs. CHI,"L, 104-96",37,5,12,41.7,1,6,16.7,13,16,81.3,0,7,7,2,2,0,1,2,24
"Fri, Jan 26",@ SAS,"L, 100-116",10,2,6,33.3,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,1,4
"Wed, Jan 24",@ HOU,"W, 137-131",43,5,12,41.7,2,5,40.0,9,11,81.8,0,5,5,9,1,0,2,0,21
"Tue, Jan 23",@ OKC,"L, 109-111",30,6,10,60.0,4,5,80.0,2,4,50.0,0,5,5,1,1,1,1,0,18
"Sun, Jan 21",@ LAL,"L, 110-134",33,6,15,40.0,0,3,0.0,5,5,100.0,1,2,3,3,1,1,1,3,17
"Fri, Jan 19",vs. IND,"W, 115-118",43,14,28,50.0,1,4,25.0,8,11,72.7,1,3,4,3,1,1,2,2,37
"Wed, Jan 17",vs. BKN,"W, 103-105",36,14,26,53.8,2,4,50.0,0,0,0.0,4,4,8,1,2,0,0,1,30
"Fri, Jan 12",@ MIN,"L, 93-116",31,4,15,26.7,2,7,28.6,3,3,100.0,0,0,0,1,0,2,0,3,13
"Thu, Jan 11",@ OKC,"L, 77-139",25,4,10,40.0,1,3,33.3,0,0,0.0,0,2,2,2,0,1,1,2,9
