Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. ORL,"L, 108-98",33,8,13,61.5,1,3,33.3,1,1,100.0,4,8,12,2,5,0,2,5,18
"Mon, Jan 29",vs. WAS,"L, 118-113",26,1,7,14.3,0,2,0.0,0,0,0.0,2,3,5,1,0,1,0,2,2
"Sat, Jan 27",vs. MIN,"W, 112-113",31,5,9,55.6,0,1,0.0,3,4,75.0,2,2,4,2,2,0,1,0,13
"Fri, Jan 26",vs. POR,"W, 100-116",32,12,20,60.0,4,7,57.1,3,3,100.0,4,10,14,2,2,2,0,0,31
"Wed, Jan 24",vs. OKC,"L, 140-114",24,1,7,14.3,0,3,0.0,0,0,0.0,2,3,5,4,2,0,0,3,2
"Mon, Jan 22",@ PHI,"L, 123-133",33,5,12,41.7,3,6,50.0,1,2,50.0,3,5,8,4,2,0,1,2,14
"Sat, Jan 20",@ WAS,"W, 131-127",28,8,11,72.7,1,2,50.0,6,6,100.0,2,2,4,3,0,1,2,4,23
"Fri, Jan 19",@ CHA,"L, 120-124",34,5,10,50.0,1,2,50.0,0,1,0.0,2,6,8,8,3,1,1,2,11
"Wed, Jan 17",@ BOS,"L, 98-117",31,2,9,22.2,1,4,25.0,0,0,0.0,3,4,7,4,0,3,1,2,5
"Mon, Jan 15",@ ATL,"L, 99-109",38,8,16,50.0,2,4,50.0,5,5,100.0,3,5,8,4,4,2,2,4,23
"Sat, Jan 13",vs. CHI,"L, 122-116",31,4,15,26.7,2,6,33.3,1,1,100.0,4,3,7,2,1,0,0,3,11
