Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sun, Jan 21",vs. MIA,"W, 87-105",3,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,0,0,0,1,0,1
"Fri, Jan 19",vs. PHI,"L, 124-109",3,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,5
"Wed, Dec 27",vs. PHI,"L, 112-92",1,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,3
"Sun, Dec 17",@ BOS,"L, 97-114",2,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,3
"Fri, Dec 15",@ BOS,"L, 111-128",3,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Fri, Dec 8",vs. DET,"W, 91-123",5,2,2,100.0,1,1,100.0,1,2,50.0,0,1,1,1,0,0,0,1,6
"Sun, Nov 19",@ IND,"W, 128-116",7,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,2,0,0,0,0
"Tue, Nov 14",@ BKN,"L, 104-124",4,0,4,0.0,0,4,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sat, Nov 4",vs. LAL,"W, 101-120",3,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0
"Tue, Oct 31",@ LAC,"L, 102-118",4,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2
"Wed, Oct 25",vs. HOU,"W, 86-116",5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
