Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sat, Jan 27",@ BKN,"L, 104-106",6,0,2,0.0,0,0,0.0,0,0,0.0,2,0,2,1,1,0,0,2,0
"Fri, Jan 26",@ CHA,"W, 138-104",15,3,5,60.0,0,0,0.0,0,0,0.0,4,2,6,2,0,1,1,2,6
"Wed, Jan 24",vs. POR,"L, 137-131",13,2,2,100.0,0,0,0.0,2,3,66.7,3,0,3,2,0,0,0,2,6
"Sun, Jan 21",vs. BOS,"L, 116-107",11,1,2,50.0,0,0,0.0,1,2,50.0,2,1,3,0,1,0,0,0,3
"Mon, Jan 15",@ PHI,"L, 115-124",9,2,2,100.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,3,0,4
"Sat, Jan 13",@ BOS,"L, 113-145",12,1,6,16.7,0,3,0.0,0,0,0.0,3,0,3,1,0,0,0,0,2
"Fri, Jan 5",vs. MIN,"L, 122-95",5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0
"Mon, Jan 1",vs. DET,"W, 113-136",7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Fri, Dec 29",vs. PHI,"L, 131-127",8,2,5,40.0,0,0,0.0,2,2,100.0,1,0,1,0,0,0,1,4,6
"Wed, Dec 27",vs. PHO,"L, 129-113",12,2,4,50.0,0,0,0.0,1,2,50.0,3,2,5,0,0,0,0,2,5
"Fri, Dec 22",vs. DAL,"W, 96-122",16,1,5,20.0,0,3,0.0,1,2,50.0,3,1,4,2,0,0,1,1,3
