Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. PHI,"L, 127-124",34,6,10,60.0,1,3,33.3,2,3,66.7,3,6,9,2,0,1,2,2,15
"Tue, Jan 30",@ NYK,"L, 103-118",28,5,12,41.7,1,4,25.0,0,1,0.0,3,8,11,3,1,0,0,4,11
"Mon, Jan 29",@ BKN,"L, 114-147",21,7,10,70.0,0,0,0.0,1,2,50.0,3,4,7,0,0,1,2,2,15
"Sat, Jan 27",@ CHA,"W, 134-122",32,9,13,69.2,1,4,25.0,1,2,50.0,3,7,10,0,0,0,2,4,20
"Thu, Jan 25",@ WAS,"W, 123-108",33,11,15,73.3,0,2,0.0,0,0,0.0,7,9,16,1,1,1,0,2,22
"Tue, Jan 23",@ NOR,"L, 124-153",24,5,12,41.7,0,3,0.0,4,4,100.0,1,8,9,2,1,0,3,5,14
"Sat, Jan 20",@ HOU,"L, 126-127",20,3,9,33.3,0,4,0.0,1,1,100.0,1,5,6,2,0,0,0,2,7
"Thu, Jan 18",vs. OKC,"L, 134-129",24,7,11,63.6,1,5,20.0,6,6,100.0,0,4,4,1,2,0,1,5,21
"Mon, Jan 15",vs. IND,"W, 105-132",20,3,8,37.5,0,2,0.0,4,4,100.0,4,2,6,1,1,0,0,0,10
"Sat, Jan 13",vs. LAL,"W, 125-132",34,7,9,77.8,3,4,75.0,2,2,100.0,2,11,13,2,1,3,1,5,19
"Fri, Jan 12",vs. TOR,"W, 113-145",14,2,3,66.7,0,1,0.0,0,0,0.0,1,6,7,1,1,0,0,4,4
