Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. CLE,"L, 108-101",32,3,4,75.0,0,1,0.0,2,2,100.0,0,6,6,0,1,1,2,3,8
"Sun, Jan 28",@ IND,"L, 110-116",30,4,5,80.0,1,2,50.0,0,0,0.0,2,5,7,4,2,0,2,1,9
"Fri, Jan 26",vs. ORL,"W, 106-107",26,3,5,60.0,1,2,50.0,0,0,0.0,1,0,1,2,1,3,2,2,7
"Wed, Jan 24",@ MIA,"W, 105-96",31,5,7,71.4,1,3,33.3,0,0,0.0,3,7,10,2,2,1,1,4,11
"Mon, Jan 22",@ TOR,"W, 108-100",28,3,6,50.0,0,1,0.0,0,1,0.0,4,1,5,4,1,0,5,2,6
"Sat, Jan 20",@ CHI,"L, 96-125",27,1,4,25.0,0,2,0.0,0,0,0.0,0,5,5,6,2,0,2,0,2
"Thu, Jan 18",@ MIN,"L, 103-118",27,2,2,100.0,1,1,100.0,0,0,0.0,0,3,3,2,1,1,0,4,5
"Sat, Jan 13",vs. NYK,"L, 106-94",20,0,4,0.0,0,3,0.0,0,0,0.0,1,2,3,1,0,1,2,1,0
"Fri, Jan 12",vs. LAC,"L, 128-119",6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0
"Tue, Jan 9",@ DAL,"W, 120-103",25,1,3,33.3,0,2,0.0,2,2,100.0,3,4,7,3,0,0,1,0,4
"Sun, Jan 7",@ PHO,"W, 121-115",3,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
