Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ SAS,"W, 108-98",18,4,7,57.1,0,0,0.0,0,0,0.0,2,2,4,0,1,0,4,1,8
"Mon, Jan 29",@ DAL,"L, 129-131",8,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2
"Sun, Jan 28",vs. PHO,"W, 98-113",23,3,7,42.9,1,2,50.0,2,4,50.0,1,2,3,1,1,1,2,2,9
"Fri, Jan 26",@ MEM,"L, 106-107",22,4,5,80.0,0,1,0.0,2,2,100.0,2,3,5,0,0,0,0,0,10
"Sun, Jan 21",vs. MIA,"W, 87-105",14,2,3,66.7,0,1,0.0,2,2,100.0,0,1,1,0,0,0,1,0,6
"Fri, Jan 19",vs. PHI,"L, 124-109",13,3,7,42.9,1,3,33.3,0,0,0.0,1,2,3,1,0,0,1,0,7
"Wed, Jan 17",@ ATL,"L, 104-106",10,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,2,0,2,0,0,2
"Mon, Jan 15",@ NYK,"W, 98-94",16,2,4,50.0,1,2,50.0,0,0,0.0,1,6,7,0,0,0,1,1,5
"Sat, Jan 13",@ OKC,"L, 100-112",15,0,1,0.0,0,0,0.0,6,8,75.0,2,3,5,1,0,0,0,3,6
"Sat, Dec 23",@ IND,"W, 117-110",12,2,3,66.7,0,1,0.0,0,0,0.0,0,1,1,1,0,0,3,0,4
"Thu, Dec 21",@ MIL,"L, 114-118",14,2,7,28.6,0,0,0.0,0,1,0.0,3,1,4,0,1,1,3,2,4
