Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 30",@ CHI,"W, 118-107",5,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,1,1,0,1,0
"Sun, Jan 28",@ ATL,"L, 125-126",19,3,6,50.0,3,4,75.0,3,4,75.0,2,5,7,3,0,2,0,2,12
"Fri, Jan 26",vs. LAC,"L, 127-107",4,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,0,1,0
"Mon, Jan 22",vs. MEM,"L, 108-100",6,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,0
"Sat, Jan 20",@ NYK,"L, 100-126",21,2,8,25.0,0,2,0.0,2,2,100.0,1,1,2,1,2,3,1,1,6
"Thu, Jan 18",vs. CHI,"L, 116-110",20,3,6,50.0,2,5,40.0,2,2,100.0,1,3,4,4,1,1,2,2,10
"Wed, Jan 17",vs. MIA,"W, 97-121",18,2,7,28.6,2,4,50.0,0,0,0.0,2,2,4,2,0,0,2,3,6
"Mon, Jan 15",vs. BOS,"L, 105-96",15,1,5,20.0,0,2,0.0,0,0,0.0,1,3,4,3,1,0,1,4,2
"Fri, Jan 12",@ UTH,"L, 113-145",31,3,8,37.5,1,4,25.0,2,2,100.0,2,4,6,6,0,2,2,1,9
"Wed, Jan 10",@ LAC,"L, 120-126",18,4,8,50.0,1,3,33.3,0,0,0.0,3,4,7,4,3,0,0,4,9
"Tue, Jan 9",@ LAL,"L, 131-132",10,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,3,0,1,0,0,0
