Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ BKN,"W, 136-120",1,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
"Sun, Jan 28",@ ORL,"L, 98-113",2,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2
"Wed, Jan 24",@ DAL,"W, 132-109",4,3,4,75.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,6
"Fri, Jan 19",@ NOR,"W, 123-109",4,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,1,1,0,0,1,2
"Thu, Jan 11",@ LAL,"W, 127-109",5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,1,0,1,0
"Mon, Jan 8",@ LAC,"L, 111-138",5,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4
"Fri, Jan 5",vs. MIA,"W, 97-113",2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Mon, Jan 1",vs. POR,"W, 88-109",6,1,2,50.0,0,1,0.0,0,0,0.0,1,0,1,1,1,1,0,0,2
"Fri, Dec 29",vs. CHA,"W, 119-133",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Mon, Dec 25",vs. DAL,"L, 128-114",11,0,3,0.0,0,1,0.0,2,2,100.0,3,0,3,1,0,0,0,0,2
"Fri, Dec 22",@ SAC,"L, 105-120",14,1,6,16.7,0,1,0.0,1,2,50.0,2,1,3,0,1,1,0,2,3
