Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ HOU,"W, 110-99",23,1,5,20.0,1,4,25.0,0,0,0.0,2,4,6,2,1,0,0,1,3
"Mon, Jan 29",@ BOS,"L, 112-118",9,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,0,0,1,0,1,0
"Sat, Jan 27",@ MIL,"L, 117-141",29,2,10,20.0,2,6,33.3,2,2,100.0,1,6,7,1,3,0,0,0,8
"Fri, Jan 26",vs. OKC,"L, 107-83",20,2,5,40.0,2,4,50.0,3,3,100.0,0,1,1,4,1,0,0,1,9
"Tue, Jan 23",vs. UTH,"W, 124-153",16,2,4,50.0,2,4,50.0,0,0,0.0,0,2,2,0,0,0,1,1,6
"Fri, Jan 19",vs. PHO,"L, 123-109",17,5,11,45.5,3,8,37.5,0,0,0.0,0,2,2,1,1,0,0,0,13
"Wed, Jan 17",vs. CHA,"W, 112-132",24,7,12,58.3,6,9,66.7,1,2,50.0,2,4,6,1,2,1,0,1,21
"Mon, Jan 15",@ DAL,"L, 120-125",21,3,4,75.0,1,2,50.0,2,2,100.0,0,1,1,0,0,1,0,3,9
"Sat, Jan 13",@ DAL,"W, 118-108",37,11,19,57.9,6,12,50.0,6,8,75.0,3,2,5,4,3,2,0,3,34
"Fri, Jan 12",@ DEN,"L, 113-125",2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Jan 10",@ GSW,"W, 141-105",21,5,9,55.6,4,5,80.0,0,0,0.0,0,1,1,2,0,0,0,1,14
