Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DAL,"W, 87-121",14,0,3,0.0,0,2,0.0,0,0,0.0,1,2,3,5,0,3,0,0,0
"Mon, Jan 29",@ OKC,"W, 107-101",14,4,4,100.0,2,2,100.0,0,0,0.0,0,0,0,1,1,0,0,3,10
"Sat, Jan 27",@ SAS,"L, 112-113",9,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,1,1,0,0,0,0
"Thu, Jan 25",@ BKN,"W, 96-94",11,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,2
"Wed, Jan 24",@ WAS,"W, 118-107",13,2,4,50.0,1,1,100.0,0,0,0.0,1,1,2,2,0,1,0,1,5
"Mon, Jan 22",vs. CHA,"L, 128-125",10,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,3,1,0,1,0,0
"Sat, Jan 20",vs. OKC,"L, 102-97",13,3,7,42.9,2,3,66.7,0,0,0.0,2,0,2,3,0,2,0,1,8
"Thu, Jan 18",vs. MEM,"W, 103-118",7,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,2,1,0,0,0
"Wed, Jan 17",@ DET,"W, 124-117",8,0,1,0.0,0,0,0.0,0,2,0.0,0,2,2,0,0,0,0,1,0
"Fri, Jan 12",vs. POR,"W, 93-116",13,1,3,33.3,0,2,0.0,0,0,0.0,0,0,0,5,2,1,0,2,2
"Wed, Jan 10",@ BOS,"L, 120-127",17,2,5,40.0,2,3,66.7,0,0,0.0,0,2,2,0,0,0,0,1,6
