Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Mon, Jan 29",@ SAS,"W, 118-113",33,6,13,46.2,1,5,20.0,0,0,0.0,0,1,1,3,4,2,1,2,13
"Sat, Jan 27",@ DET,"W, 118-104",29,6,12,50.0,3,6,50.0,2,2,100.0,1,0,1,2,0,1,0,1,17
"Thu, Jan 25",vs. UTH,"L, 123-108",28,6,12,50.0,3,7,42.9,3,4,75.0,0,2,2,2,0,2,2,5,18
"Wed, Jan 24",vs. MIN,"L, 118-107",28,2,11,18.2,1,4,25.0,2,2,100.0,0,2,2,3,4,0,0,3,7
"Sun, Jan 21",vs. DEN,"L, 113-104",28,1,7,14.3,1,4,25.0,1,1,100.0,0,1,1,0,2,0,0,4,4
"Sat, Jan 20",vs. SAS,"L, 131-127",29,7,15,46.7,0,3,0.0,2,2,100.0,0,0,0,2,1,2,1,4,16
"Thu, Jan 18",@ NYK,"L, 109-113",34,7,19,36.8,2,9,22.2,8,8,100.0,0,4,4,2,0,1,0,1,24
"Mon, Jan 15",vs. DET,"L, 129-117",32,6,14,42.9,2,7,28.6,2,2,100.0,0,0,0,2,1,0,0,3,16
"Sat, Jan 13",@ ATL,"W, 127-99",26,8,16,50.0,2,6,33.3,2,2,100.0,0,2,2,2,1,1,1,1,20
"Wed, Jan 10",@ IND,"L, 104-112",34,11,21,52.4,2,7,28.6,4,6,66.7,1,3,4,7,1,3,0,3,28
"Mon, Jan 8",vs. OKC,"L, 136-128",29,8,17,47.1,4,8,50.0,4,5,80.0,0,0,0,5,1,0,0,5,24
