Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DEN,"W, 100-105",25,2,11,18.2,0,2,0.0,4,4,100.0,3,6,9,5,2,0,1,0,8
"Mon, Jan 29",vs. MIN,"L, 107-101",19,5,10,50.0,3,7,42.9,0,1,0.0,1,3,4,2,1,0,1,1,13
"Sun, Jan 28",@ DET,"L, 104-120",27,5,10,50.0,0,1,0.0,2,2,100.0,2,7,9,5,2,0,1,0,12
"Fri, Jan 26",@ NOR,"W, 107-83",23,2,4,50.0,0,1,0.0,0,0,0.0,0,5,5,6,1,1,1,0,4
"Wed, Jan 24",@ SAS,"W, 140-114",22,6,13,46.2,0,3,0.0,0,0,0.0,5,3,8,4,2,0,0,1,12
"Tue, Jan 23",vs. POR,"W, 109-111",25,3,6,50.0,0,0,0.0,1,2,50.0,2,3,5,3,0,0,0,2,7
"Sat, Jan 20",@ MIN,"W, 102-97",25,2,8,25.0,0,4,0.0,1,2,50.0,1,7,8,4,1,1,0,0,5
"Thu, Jan 18",@ UTH,"W, 134-129",30,8,16,50.0,1,5,20.0,3,3,100.0,1,9,10,6,2,1,0,3,20
"Tue, Jan 16",@ LAC,"L, 117-128",19,4,9,44.4,1,3,33.3,0,0,0.0,1,3,4,4,0,0,0,0,9
"Mon, Jan 15",@ LAL,"L, 105-112",22,2,8,25.0,2,5,40.0,2,2,100.0,2,3,5,3,0,0,1,1,8
"Sat, Jan 13",vs. ORL,"W, 100-112",27,4,12,33.3,1,5,20.0,3,4,75.0,1,7,8,4,0,1,0,1,12
