Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIN,"L, 87-121",29,8,13,61.5,2,3,66.7,0,0,0.0,0,2,2,1,1,0,0,4,18
"Mon, Jan 29",vs. ORL,"W, 129-131",33,1,6,16.7,0,3,0.0,0,0,0.0,0,2,2,1,2,1,0,5,2
"Sat, Jan 27",vs. SAC,"L, 120-115",33,4,9,44.4,2,6,33.3,1,2,50.0,0,3,3,5,2,0,0,2,11
"Fri, Jan 26",@ ATL,"W, 148-143",35,8,12,66.7,4,5,80.0,1,2,50.0,1,1,2,4,3,0,0,5,21
"Wed, Jan 24",vs. PHO,"L, 132-109",31,3,8,37.5,2,6,33.3,0,0,0.0,3,1,4,3,1,0,0,1,8
"Mon, Jan 22",vs. BOS,"L, 119-110",38,5,11,45.5,4,7,57.1,0,0,0.0,1,6,7,1,3,0,0,4,14
"Mon, Jan 15",vs. NOR,"W, 120-125",30,4,8,50.0,3,5,60.0,2,6,33.3,1,3,4,3,1,0,0,5,13
"Sat, Jan 13",vs. NOR,"L, 118-108",32,3,8,37.5,1,3,33.3,2,2,100.0,2,4,6,4,3,0,0,2,9
"Thu, Jan 11",vs. NYK,"W, 124-128",35,8,12,66.7,2,4,50.0,0,2,0.0,0,2,2,3,0,1,0,2,18
"Tue, Jan 9",vs. MEM,"L, 120-103",23,0,3,0.0,0,1,0.0,0,0,0.0,1,2,3,0,0,0,1,1,0
"Sun, Jan 7",vs. MIN,"W, 108-115",31,2,3,66.7,0,1,0.0,0,0,0.0,0,5,5,1,0,0,1,2,4
