Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Fri, Jan 12",vs. POR,"W, 93-116",9,0,3,0.0,0,0,0.0,2,2,100.0,0,0,0,0,0,1,1,2,2
"Fri, Jan 5",@ HOU,"W, 122-95",3,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,0,0,2
"Wed, Jan 3",vs. NOR,"L, 117-106",3,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,1,0,2
"Tue, Dec 26",@ OKC,"L, 106-129",5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,1,0,0,0,0
"Thu, Dec 14",@ DAL,"W, 119-101",2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0,0,0,0,0,0,3
"Mon, Dec 11",@ NOR,"L, 107-121",2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0,0,0,0,0,0,3
"Sun, Nov 26",@ MEM,"W, 119-97",2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
"Wed, Nov 22",vs. PHI,"W, 99-112",2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
"Mon, Nov 20",vs. NYK,"W, 100-117",1,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2
"Wed, Nov 15",@ PHO,"L, 115-133",5,1,3,33.3,0,2,0.0,0,1,0.0,1,0,1,0,0,0,0,0,2
"Wed, Nov 8",vs. NOR,"W, 101-122",3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0
