Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. LAL,"L, 114-105",29,4,9,44.4,0,2,0.0,0,0,0.0,2,5,7,7,4,0,0,3,8
"Tue, Jan 30",vs. IND,"W, 124-129",39,6,8,75.0,3,3,100.0,2,2,100.0,0,5,5,4,1,1,3,0,17
"Mon, Jan 29",vs. NOR,"W, 112-118",33,7,11,63.6,3,5,60.0,3,4,75.0,2,1,3,2,1,1,0,1,20
"Sat, Jan 27",vs. LAC,"L, 115-96",28,2,11,18.2,1,7,14.3,2,2,100.0,0,3,3,4,2,1,0,1,7
"Thu, Jan 25",@ MIA,"W, 143-110",29,7,8,87.5,3,4,75.0,0,0,0.0,0,5,5,5,3,0,1,1,17
"Mon, Jan 22",@ DAL,"W, 119-110",38,6,13,46.2,5,12,41.7,0,0,0.0,0,7,7,6,1,0,1,2,17
"Fri, Jan 19",vs. DEN,"L, 102-100",30,3,7,42.9,1,3,33.3,0,0,0.0,1,1,2,3,1,0,0,0,7
"Wed, Jan 17",vs. SAS,"W, 98-117",31,8,14,57.1,6,7,85.7,0,0,0.0,0,4,4,4,1,0,0,0,22
"Mon, Jan 15",@ TOR,"W, 105-96",34,7,14,50.0,4,6,66.7,4,4,100.0,1,5,6,7,1,1,2,2,22
"Sat, Jan 13",vs. HOU,"W, 113-145",26,4,10,40.0,1,4,25.0,2,2,100.0,2,4,6,3,1,0,0,2,11
"Thu, Jan 11",@ MIL,"L, 102-135",19,2,9,22.2,0,4,0.0,2,2,100.0,1,3,4,2,1,0,0,1,6
