Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Mon, Jan 29",vs. NYK,"L, 113-92",2,0,2,0.0,0,1,0.0,1,2,50.0,1,0,1,0,0,0,0,0,1
"Sat, Jan 27",vs. UTH,"L, 134-122",5,2,3,66.7,1,1,100.0,0,0,0.0,0,0,0,0,1,0,0,0,5
"Fri, Jan 26",vs. HOU,"L, 138-104",7,0,2,0.0,0,0,0.0,2,2,100.0,0,1,1,1,0,2,0,0,2
"Mon, Jan 22",@ MIN,"W, 128-125",16,2,3,66.7,2,3,66.7,1,2,50.0,0,3,3,0,2,0,2,2,7
"Sat, Jan 20",vs. PHI,"L, 97-89",22,3,5,60.0,1,3,33.3,0,0,0.0,3,3,6,0,0,0,1,1,7
"Fri, Jan 19",vs. SAS,"W, 120-124",9,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2
"Wed, Jan 17",@ NOR,"L, 112-132",7,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,1,1,0,1,0,0
"Sun, Jan 14",@ MIA,"L, 87-104",10,0,6,0.0,0,0,0.0,0,0,0.0,4,0,4,1,0,0,1,1,0
"Fri, Jan 12",@ SAS,"L, 99-135",19,2,7,28.6,1,3,33.3,0,0,0.0,2,2,4,0,1,0,0,3,5
"Wed, Jan 10",vs. SAC,"L, 123-98",21,1,7,14.3,0,2,0.0,0,0,0.0,2,3,5,0,0,0,0,2,2
"Mon, Jan 8",vs. CHI,"L, 119-112",21,4,12,33.3,1,2,50.0,0,0,0.0,6,2,8,0,0,0,2,1,9
