Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Jan 4",@ GSW,"W, 130-127",9,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,1,0,0,0
"Mon, Jan 1",vs. CHA,"W, 93-111",13,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,1,2
"Fri, Dec 29",vs. OKC,"L, 119-93",12,3,7,42.9,1,4,25.0,3,4,75.0,0,1,1,0,3,0,0,3,10
"Thu, Dec 28",vs. MEM,"W, 105-142",25,5,13,38.5,2,8,25.0,0,0,0.0,0,3,3,2,1,0,1,4,12
"Mon, Dec 25",vs. GSW,"W, 114-120",8,1,1,100.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,2
"Sat, Dec 23",@ CHA,"W, 102-95",16,4,10,40.0,2,5,40.0,0,0,0.0,1,0,1,1,1,1,0,0,10
"Fri, Dec 22",@ BKN,"W, 122-117",11,0,5,0.0,0,3,0.0,0,0,0.0,1,2,3,0,1,0,0,1,0
"Wed, Dec 20",@ TOR,"W, 113-104",14,3,6,50.0,1,4,25.0,0,0,0.0,0,1,1,2,0,2,0,2,7
"Mon, Dec 18",vs. DAL,"W, 104-130",21,5,10,50.0,2,4,50.0,0,0,0.0,0,3,3,2,0,1,0,1,12
"Sat, Dec 16",vs. OKC,"L, 118-117",15,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0
"Thu, Dec 14",vs. BKN,"W, 101-124",20,3,11,27.3,2,6,33.3,0,0,0.0,0,4,4,1,0,0,0,0,8
