Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ BKN,"W, 136-120",30,11,15,73.3,0,0,0.0,6,9,66.7,5,6,11,6,6,1,2,2,28
"Mon, Jan 29",@ MIA,"W, 118-105",27,3,5,60.0,0,1,0.0,0,1,0.0,0,8,8,2,1,2,0,6,6
"Fri, Jan 26",@ IND,"L, 131-133",20,1,3,33.3,0,0,0.0,0,0,0.0,0,4,4,5,2,3,0,2,2
"Wed, Jan 24",@ DAL,"W, 132-109",21,3,5,60.0,0,1,0.0,2,2,100.0,3,2,5,3,4,2,0,4,8
"Mon, Jan 22",vs. CHI,"W, 113-115",26,4,7,57.1,0,0,0.0,0,0,0.0,1,6,7,4,1,0,2,3,8
"Sun, Jan 21",vs. IND,"W, 110-117",19,2,2,100.0,0,0,0.0,0,0,0.0,0,13,13,4,6,0,1,6,4
"Fri, Jan 19",@ NOR,"W, 123-109",35,2,5,40.0,0,0,0.0,1,2,50.0,1,14,15,9,3,1,0,3,5
"Tue, Jan 16",vs. SAC,"W, 117-119",27,4,5,80.0,0,0,0.0,2,2,100.0,3,12,15,3,1,0,1,3,10
"Sun, Jan 14",@ POR,"W, 127-116",27,5,8,62.5,0,0,0.0,4,6,66.7,4,9,13,1,1,3,1,3,14
"Thu, Jan 11",@ LAL,"W, 127-109",28,3,6,50.0,0,0,0.0,3,4,75.0,4,8,12,2,2,1,0,2,9
"Mon, Jan 8",@ LAC,"L, 111-138",21,3,8,37.5,1,2,50.0,1,2,50.0,1,2,3,2,0,1,0,1,8
