Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DAL,"W, 87-121",31,11,15,73.3,4,6,66.7,3,5,60.0,2,7,9,4,3,1,0,2,29
"Mon, Jan 29",@ OKC,"W, 107-101",39,6,15,40.0,2,4,50.0,7,8,87.5,1,9,10,6,2,1,1,2,21
"Sat, Jan 27",@ SAS,"L, 112-113",32,9,16,56.3,1,4,25.0,0,1,0.0,0,5,5,4,3,1,2,3,19
"Thu, Jan 25",@ BKN,"W, 96-94",37,12,15,80.0,2,3,66.7,1,2,50.0,1,9,10,3,6,0,0,3,27
"Wed, Jan 24",@ WAS,"W, 118-107",35,11,24,45.8,2,10,20.0,3,3,100.0,0,6,6,3,1,0,1,4,27
"Mon, Jan 22",vs. CHA,"L, 128-125",38,21,35,60.0,10,15,66.7,10,14,71.4,3,5,8,2,7,0,0,2,62
"Sat, Jan 20",vs. OKC,"L, 102-97",36,4,10,40.0,1,4,25.0,10,10,100.0,1,10,11,2,3,0,1,6,19
"Thu, Jan 18",vs. MEM,"W, 103-118",29,5,12,41.7,2,5,40.0,2,3,66.7,0,7,7,2,1,0,1,2,14
"Wed, Jan 17",@ DET,"W, 124-117",31,10,17,58.8,5,5,100.0,2,2,100.0,2,4,6,4,1,0,0,2,27
"Sun, Jan 14",vs. LAC,"W, 105-109",37,7,12,58.3,2,4,50.0,1,2,50.0,0,6,6,5,4,0,0,4,17
"Fri, Jan 12",vs. POR,"W, 93-116",28,7,8,87.5,3,3,100.0,6,7,85.7,1,7,8,1,0,2,0,2,23
