Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ WAS,"W, 125-109",30,14,25,56.0,1,4,25.0,2,2,100.0,4,5,9,4,0,4,1,1,31
"Mon, Jan 29",@ CLE,"L, 108-118",37,13,25,52.0,2,7,28.6,2,2,100.0,3,5,8,3,1,2,0,2,30
"Sat, Jan 27",@ BOS,"W, 115-96",29,10,15,66.7,3,5,60.0,3,3,100.0,1,6,7,2,2,2,2,1,26
"Fri, Jan 26",@ TOR,"W, 127-107",31,7,13,53.8,2,4,50.0,0,0,0.0,1,6,7,3,1,1,2,0,16
"Tue, Jan 23",vs. LAL,"W, 116-127",38,11,16,68.8,0,1,0.0,3,3,100.0,2,9,11,10,2,2,1,0,25
"Sun, Jan 21",vs. BKN,"W, 114-125",37,6,15,40.0,2,3,66.7,7,8,87.5,1,3,4,4,2,0,1,2,21
"Tue, Jan 16",vs. OKC,"W, 117-128",37,6,10,60.0,3,4,75.0,1,2,50.0,1,5,6,6,3,0,1,0,16
"Sun, Jan 14",@ MIN,"L, 105-109",37,9,19,47.4,2,3,66.7,6,6,100.0,0,9,9,4,1,2,0,4,26
"Fri, Jan 12",@ MEM,"W, 128-119",29,10,16,62.5,2,5,40.0,0,0,0.0,0,7,7,4,1,2,2,3,22
"Wed, Jan 10",vs. TOR,"W, 120-126",38,10,18,55.6,2,4,50.0,7,7,100.0,2,1,3,7,0,1,2,3,29
"Mon, Jan 8",vs. PHO,"W, 111-138",32,8,15,53.3,1,3,33.3,0,0,0.0,0,3,3,2,3,5,1,1,17
