Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Mon, Jan 29",vs. WAS,"L, 118-113",31,5,10,50.0,2,5,40.0,2,2,100.0,0,5,5,3,2,3,0,1,14
"Sat, Jan 27",vs. MIN,"W, 112-113",27,6,14,42.9,1,3,33.3,1,2,50.0,5,2,7,2,1,2,2,2,14
"Fri, Jan 26",vs. POR,"W, 100-116",30,9,15,60.0,0,2,0.0,3,4,75.0,8,8,16,1,1,1,2,2,21
"Wed, Jan 24",vs. OKC,"L, 140-114",19,3,8,37.5,0,2,0.0,1,1,100.0,0,0,0,1,2,1,1,0,7
"Mon, Jan 22",@ PHI,"L, 123-133",21,4,12,33.3,0,4,0.0,0,0,0.0,0,2,2,0,1,0,0,3,8
"Sat, Jan 20",@ WAS,"W, 131-127",28,7,15,46.7,0,3,0.0,5,7,71.4,4,5,9,2,1,0,0,2,19
"Fri, Jan 19",@ CHA,"L, 120-124",29,9,15,60.0,4,8,50.0,3,4,75.0,0,4,4,3,1,0,0,3,25
"Wed, Jan 17",@ BOS,"L, 98-117",23,2,4,50.0,1,2,50.0,0,0,0.0,0,2,2,1,0,1,0,1,5
"Mon, Jan 15",@ ATL,"L, 99-109",26,1,11,9.1,0,5,0.0,3,5,60.0,2,4,6,0,5,1,0,4,5
"Sat, Jan 13",vs. CHI,"L, 122-116",30,8,14,57.1,4,5,80.0,6,6,100.0,0,4,4,5,2,0,1,2,26
"Fri, Jan 12",vs. CHA,"W, 99-135",19,3,11,27.3,2,7,28.6,2,2,100.0,0,2,2,1,2,1,0,2,10
