Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. PHI,"L, 127-124",19,3,4,75.0,1,2,50.0,7,7,100.0,0,3,3,3,0,0,0,1,14
"Tue, Jan 30",@ NYK,"L, 103-118",21,0,3,0.0,0,1,0.0,1,2,50.0,1,4,5,3,1,0,0,2,1
"Mon, Jan 29",@ BKN,"L, 114-147",16,1,1,100.0,0,0,0.0,3,4,75.0,0,4,4,4,2,0,0,0,5
"Sat, Jan 27",@ CHA,"W, 134-122",18,2,2,100.0,1,1,100.0,1,2,50.0,1,8,9,8,4,1,0,2,6
"Thu, Jan 25",@ WAS,"W, 123-108",21,8,11,72.7,3,4,75.0,0,0,0.0,2,2,4,2,1,0,0,3,19
"Tue, Jan 23",@ NOR,"L, 124-153",14,4,5,80.0,0,1,0.0,1,2,50.0,0,3,3,2,1,0,0,3,9
"Sat, Jan 20",@ HOU,"L, 126-127",16,3,5,60.0,0,1,0.0,0,0,0.0,0,3,3,1,1,1,0,4,6
"Thu, Jan 18",vs. OKC,"L, 134-129",17,3,7,42.9,0,2,0.0,1,1,100.0,0,2,2,4,1,1,0,3,7
"Mon, Jan 15",vs. IND,"W, 105-132",17,1,3,33.3,0,0,0.0,2,2,100.0,1,5,6,4,3,0,1,4,4
"Sat, Jan 13",vs. LAL,"W, 125-132",15,2,8,25.0,0,1,0.0,0,0,0.0,1,4,5,2,2,0,0,1,4
"Fri, Jan 12",vs. TOR,"W, 113-145",21,4,7,57.1,1,2,50.0,2,4,50.0,2,8,10,5,1,1,0,3,11
