Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ OKC,"L, 100-105",36,3,10,30.0,3,9,33.3,2,2,100.0,1,5,6,3,3,1,0,4,11
"Mon, Jan 29",vs. MIL,"W, 107-113",34,5,9,55.6,0,3,0.0,2,2,100.0,0,1,1,2,0,1,0,1,12
"Sat, Jan 27",vs. PHI,"W, 105-111",33,2,8,25.0,0,3,0.0,4,4,100.0,0,1,1,2,0,0,0,3,8
"Thu, Jan 25",@ NYK,"L, 84-122",22,2,6,33.3,1,3,33.3,0,0,0.0,0,0,0,0,1,0,0,4,5
"Tue, Jan 23",@ IND,"W, 114-109",35,5,12,41.7,2,6,33.3,2,2,100.0,2,3,5,0,1,1,0,3,14
"Sun, Jan 21",@ WAS,"W, 113-104",35,4,9,44.4,1,5,20.0,1,2,50.0,0,3,3,3,2,3,0,2,10
"Fri, Jan 19",@ BOS,"W, 102-100",37,2,6,33.3,1,3,33.3,0,0,0.0,1,4,5,1,0,0,0,1,5
"Tue, Jan 16",@ PHI,"L, 121-126",33,5,13,38.5,2,7,28.6,1,1,100.0,0,5,5,2,0,1,0,2,13
"Sun, Jan 14",vs. IND,"W, 109-117",37,3,4,75.0,2,3,66.7,3,3,100.0,0,2,2,1,1,2,0,2,11
"Fri, Jan 12",vs. NOR,"W, 113-125",31,4,9,44.4,3,6,50.0,0,0,0.0,0,2,2,3,0,2,0,0,11
"Wed, Jan 10",@ UTH,"L, 111-124",28,4,9,44.4,2,5,40.0,2,2,100.0,0,1,1,1,1,4,1,2,12
