Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ UTH,"W, 127-124",5,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0
"Tue, Jan 30",@ GSW,"L, 107-119",26,1,2,50.0,0,1,0.0,0,3,0.0,0,2,2,0,2,1,1,3,2
"Mon, Jan 29",@ POR,"L, 104-130",18,2,4,50.0,0,0,0.0,2,2,100.0,0,1,1,1,2,0,0,5,6
"Sat, Jan 27",@ DEN,"L, 105-111",19,3,5,60.0,0,1,0.0,1,2,50.0,0,4,4,1,2,0,0,4,7
"Thu, Jan 25",@ IND,"L, 122-134",31,4,6,66.7,0,1,0.0,3,6,50.0,1,2,3,2,2,2,0,4,11
"Mon, Jan 22",vs. SAS,"W, 123-133",17,2,5,40.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,2,4
"Fri, Jan 19",@ ORL,"W, 124-109",2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2
"Mon, Jan 15",vs. HOU,"W, 115-124",6,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0
"Fri, Jan 12",vs. SAC,"W, 93-112",3,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
"Wed, Jan 10",@ ATL,"L, 132-139",6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0
"Sat, Jan 6",vs. UTH,"L, 120-109",17,4,7,57.1,0,1,0.0,1,2,50.0,1,1,2,1,0,1,0,4,9
