Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIA,"L, 106-115",1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sat, Jan 27",@ DAL,"W, 120-115",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0
"Thu, Jan 25",@ GSW,"W, 134-133",6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0
"Fri, Jan 12",@ PHI,"L, 93-112",6,1,3,33.3,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2
"Tue, Jan 9",@ DET,"W, 131-110",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
"Sun, Jan 7",vs. NOR,"L, 133-100",8,3,4,75.0,2,2,100.0,2,2,100.0,1,1,2,0,0,0,0,0,10
"Sun, Dec 31",@ MEM,"W, 123-92",4,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Tue, Dec 26",@ POR,"L, 113-130",2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sat, Dec 23",vs. MIN,"L, 110-98",0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Fri, Dec 22",vs. PHO,"W, 105-120",2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Dec 20",vs. BOS,"L, 144-119",6,3,5,60.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,0,0,7
