Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ BKN,"W, 136-120",38,10,16,62.5,2,6,33.3,11,12,91.7,0,5,5,8,3,0,2,1,33
"Mon, Jan 29",@ MIA,"W, 118-105",42,8,15,53.3,2,5,40.0,2,2,100.0,2,6,8,7,1,1,2,0,20
"Sun, Jan 28",@ ORL,"L, 98-113",37,7,12,58.3,1,3,33.3,0,0,0.0,0,4,4,5,7,0,1,3,15
"Fri, Jan 26",@ IND,"L, 131-133",39,9,15,60.0,2,4,50.0,0,0,0.0,1,6,7,6,2,1,1,1,20
"Wed, Jan 24",@ DAL,"W, 132-109",38,4,10,40.0,0,4,0.0,4,7,57.1,0,10,10,7,1,1,2,4,12
"Mon, Jan 22",vs. CHI,"W, 113-115",41,16,32,50.0,6,15,40.0,5,6,83.3,1,5,6,8,1,1,2,2,43
"Sun, Jan 21",vs. IND,"W, 110-117",40,18,25,72.0,4,7,57.1,0,0,0.0,1,8,9,2,2,0,3,4,40
"Fri, Jan 19",@ NOR,"W, 123-109",35,11,19,57.9,3,8,37.5,1,1,100.0,1,4,5,2,1,2,2,1,26
"Tue, Jan 16",vs. SAC,"W, 117-119",39,7,16,43.8,4,8,50.0,9,9,100.0,1,4,5,4,7,0,2,3,27
"Sun, Jan 14",@ POR,"W, 127-116",38,8,16,50.0,2,5,40.0,3,3,100.0,1,4,5,6,3,0,0,4,21
"Thu, Jan 11",@ LAL,"W, 127-109",32,7,12,58.3,2,5,40.0,2,2,100.0,0,5,5,5,1,3,1,0,18
