Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIA,"L, 106-115",39,6,12,50.0,2,6,33.3,0,0,0.0,1,2,3,4,1,1,0,4,14
"Mon, Jan 29",@ MEM,"W, 103-94",37,7,15,46.7,3,8,37.5,0,0,0.0,0,4,4,3,1,2,1,1,17
"Sat, Jan 27",@ DAL,"W, 120-115",30,7,11,63.6,4,8,50.0,0,0,0.0,0,4,4,5,0,0,2,2,18
"Thu, Jan 25",@ GSW,"W, 134-133",33,4,10,40.0,3,8,37.5,1,3,33.3,3,7,10,4,2,3,0,4,12
"Mon, Jan 22",vs. ATL,"W, 107-122",26,3,6,50.0,2,5,40.0,0,0,0.0,0,2,2,3,1,0,1,4,8
"Thu, Jan 18",vs. IND,"L, 126-121",39,11,17,64.7,7,12,58.3,2,2,100.0,0,2,2,4,2,1,1,4,31
"Tue, Jan 16",@ PHO,"L, 117-119",26,4,9,44.4,2,6,33.3,0,0,0.0,0,3,3,2,0,2,1,4,10
"Sun, Jan 14",@ MIL,"L, 142-143",39,10,14,71.4,6,9,66.7,0,0,0.0,0,10,10,3,1,1,0,4,26
"Wed, Jan 10",@ CHA,"W, 123-98",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
"Tue, Jan 9",@ DET,"W, 131-110",29,2,11,18.2,0,6,0.0,0,0,0.0,0,5,5,5,0,1,1,1,4
"Sun, Jan 7",vs. NOR,"L, 133-100",24,6,10,60.0,2,6,33.3,3,4,75.0,1,0,1,3,0,1,1,0,17
