Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. SAC,"W, 106-115",14,2,4,50.0,2,3,66.7,2,2,100.0,1,2,3,3,0,0,0,0,8
"Mon, Jan 29",vs. PHO,"L, 118-105",13,0,4,0.0,0,4,0.0,4,4,100.0,0,2,2,0,1,0,1,2,4
"Sat, Jan 27",@ NYK,"L, 109-125",14,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,2
"Wed, Jan 24",vs. MEM,"L, 105-96",5,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Sun, Jan 21",@ ORL,"L, 87-105",14,3,6,50.0,2,5,40.0,1,2,50.0,3,3,6,0,1,0,0,4,9
"Fri, Jan 19",vs. ATL,"L, 109-108",12,0,5,0.0,0,3,0.0,0,0,0.0,1,4,5,1,3,1,0,1,0
"Fri, Jan 12",vs. ORL,"W, 96-99",16,2,6,33.3,1,4,25.0,0,1,0.0,1,2,3,1,1,1,0,3,5
"Wed, Jan 10",vs. OKC,"L, 128-120",20,3,6,50.0,0,2,0.0,6,6,100.0,1,4,5,2,1,0,0,0,12
"Mon, Jan 8",vs. HOU,"W, 113-120",23,4,7,57.1,1,3,33.3,6,7,85.7,3,4,7,4,1,1,0,2,15
"Fri, Jan 5",@ PHO,"L, 97-113",20,6,9,66.7,3,6,50.0,5,6,83.3,3,4,7,2,2,0,0,4,20
"Wed, Jan 3",@ LAL,"W, 110-96",28,4,7,57.1,0,1,0.0,2,6,33.3,3,11,14,3,0,1,1,3,10
