Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 30",vs. PHI,"W, 107-119",8,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,0,0
"Sat, Jan 27",vs. LAL,"L, 145-144",5,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,2,0,0,2,0
"Thu, Jan 25",vs. SAC,"L, 134-133",16,2,2,100.0,0,0,0.0,0,0,0.0,0,3,3,2,1,0,1,2,4
"Wed, Jan 24",vs. ATL,"W, 112-134",10,1,2,50.0,0,0,0.0,0,0,0.0,2,5,7,1,1,1,1,1,2
"Mon, Jan 15",@ MEM,"L, 107-116",18,4,4,100.0,0,0,0.0,0,0,0.0,1,4,5,2,1,1,0,1,8
"Sat, Jan 13",@ MIL,"L, 118-129",18,3,6,50.0,0,0,0.0,0,0,0.0,4,2,6,3,0,0,1,2,6
"Fri, Jan 12",@ CHI,"W, 140-131",27,4,4,100.0,0,0,0.0,1,2,50.0,3,2,5,1,0,0,1,2,9
"Wed, Jan 10",vs. NOR,"L, 141-105",19,3,3,100.0,0,0,0.0,1,2,50.0,2,5,7,0,0,0,1,4,7
"Sun, Jan 7",vs. TOR,"L, 133-118",17,4,6,66.7,0,0,0.0,2,2,100.0,7,0,7,2,1,0,0,2,10
"Fri, Jan 5",vs. DET,"W, 109-113",12,1,1,100.0,0,0,0.0,2,2,100.0,1,3,4,1,0,0,0,2,4
"Thu, Jan 4",vs. DEN,"L, 130-127",22,3,4,75.0,0,0,0.0,1,1,100.0,2,2,4,3,0,0,0,5,7
