Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. PHI,"L, 127-124",21,5,9,55.6,1,4,25.0,0,0,0.0,0,3,3,3,2,0,0,1,11
"Tue, Jan 30",@ NYK,"L, 103-118",23,6,12,50.0,1,5,20.0,2,2,100.0,0,2,2,1,2,0,0,2,15
"Mon, Jan 29",@ BKN,"L, 114-147",27,6,11,54.5,3,7,42.9,6,7,85.7,0,4,4,3,1,0,0,1,21
"Sat, Jan 27",@ CHA,"W, 134-122",13,2,5,40.0,1,4,25.0,5,5,100.0,0,0,0,1,1,0,0,1,10
"Thu, Jan 25",@ WAS,"W, 123-108",31,1,6,16.7,0,2,0.0,3,4,75.0,0,4,4,7,3,0,0,0,5
"Tue, Jan 23",@ NOR,"L, 124-153",25,1,8,12.5,1,4,25.0,9,10,90.0,0,1,1,5,0,1,0,2,12
"Sat, Jan 20",@ HOU,"L, 126-127",10,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,2,3,0,0,1,3
"Thu, Jan 18",vs. OKC,"L, 134-129",14,1,5,20.0,1,2,50.0,0,0,0.0,0,1,1,2,2,0,0,0,3
"Mon, Jan 15",vs. IND,"W, 105-132",24,6,11,54.5,3,7,42.9,4,5,80.0,0,0,0,5,2,1,0,1,19
"Sat, Jan 13",vs. LAL,"W, 125-132",27,5,11,45.5,3,9,33.3,6,6,100.0,0,3,3,3,1,1,0,0,19
"Fri, Jan 12",vs. TOR,"W, 113-145",24,3,10,30.0,0,5,0.0,3,3,100.0,0,3,3,6,3,0,0,0,9
