Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ POR,"L, 116-119",34,9,13,69.2,3,5,60.0,0,0,0.0,0,2,2,8,1,0,1,3,21
"Mon, Jan 29",@ DEN,"L, 107-113",30,6,10,60.0,2,6,33.3,0,0,0.0,0,8,8,3,4,0,1,5,14
"Fri, Jan 26",vs. CLE,"L, 112-100",36,5,16,31.3,2,6,33.3,2,2,100.0,2,6,8,8,3,2,0,3,14
"Wed, Jan 24",vs. CLE,"W, 116-126",32,8,15,53.3,1,4,25.0,7,8,87.5,2,3,5,5,0,2,0,3,24
"Mon, Jan 22",@ DET,"W, 122-113",31,9,14,64.3,2,5,40.0,6,6,100.0,0,2,2,2,1,2,0,2,26
"Sat, Jan 20",@ DET,"W, 141-135",33,5,12,41.7,3,7,42.9,4,6,66.7,0,5,5,4,1,1,2,4,17
"Wed, Jan 17",@ CLE,"L, 95-135",20,1,10,10.0,0,3,0.0,0,0,0.0,0,2,2,2,3,0,1,3,2
"Sat, Jan 13",vs. GSW,"W, 118-129",33,10,13,76.9,3,5,60.0,1,2,50.0,1,2,3,10,3,1,1,2,24
"Thu, Jan 11",vs. BOS,"W, 102-135",20,2,9,22.2,1,5,20.0,0,0,0.0,0,2,2,7,0,1,0,2,5
"Mon, Jan 8",vs. UTH,"L, 132-116",34,7,16,43.8,3,6,50.0,6,6,100.0,0,3,3,8,3,2,1,1,23
"Sat, Jan 6",@ HOU,"L, 108-112",33,3,9,33.3,0,5,0.0,4,6,66.7,0,3,3,5,3,1,0,5,10
