Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sun, Jan 28",vs. OKC,"W, 104-120",14,1,2,50.0,0,0,0.0,0,0,0.0,0,3,3,3,1,0,0,0,2
"Sat, Jan 27",vs. WAS,"L, 118-104",10,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,2,0,2,1,2
"Wed, Jan 24",vs. CHA,"W, 106-113",27,2,3,66.7,1,2,50.0,1,3,33.3,0,7,7,8,1,0,0,1,6
"Mon, Jan 22",vs. MIL,"L, 122-113",16,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,5,1,1,1,2,2
"Sat, Jan 20",vs. MIL,"L, 141-135",18,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,5,1,1,0,3,2
"Wed, Jan 17",vs. MIN,"L, 124-117",26,4,4,100.0,0,0,0.0,0,0,0.0,0,1,1,8,0,0,0,3,8
"Mon, Jan 15",@ WAS,"W, 129-117",24,2,4,50.0,0,1,0.0,0,0,0.0,0,1,1,6,1,0,0,1,4
"Fri, Jan 12",vs. HOU,"L, 112-110",29,2,6,33.3,0,2,0.0,1,1,100.0,0,4,4,8,1,1,1,1,5
"Wed, Jan 10",vs. SAS,"L, 130-108",32,2,8,25.0,0,0,0.0,0,0,0.0,1,3,4,12,1,0,0,1,4
"Tue, Jan 9",vs. SAC,"L, 131-110",31,1,4,25.0,0,1,0.0,2,2,100.0,1,3,4,7,6,1,0,2,4
"Sun, Jan 7",@ DEN,"L, 114-131",25,1,5,20.0,0,1,0.0,0,0,0.0,0,2,2,6,1,1,0,4,2
