Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DAL,"W, 87-121",16,2,2,100.0,0,0,0.0,1,2,50.0,1,2,3,3,1,0,0,0,5
"Mon, Jan 29",@ OKC,"W, 107-101",17,1,4,25.0,0,0,0.0,0,0,0.0,1,2,3,3,0,1,0,2,2
"Sat, Jan 27",@ SAS,"L, 112-113",19,2,6,33.3,0,0,0.0,0,2,0.0,2,1,3,1,1,1,0,0,4
"Thu, Jan 25",@ BKN,"W, 96-94",18,1,3,33.3,0,0,0.0,1,2,50.0,1,2,3,5,1,2,0,0,3
"Wed, Jan 24",@ WAS,"W, 118-107",22,1,4,25.0,0,0,0.0,1,2,50.0,1,4,5,5,0,0,0,1,3
"Mon, Jan 22",vs. CHA,"L, 128-125",22,1,2,50.0,0,0,0.0,3,3,100.0,1,3,4,8,1,0,0,1,5
"Sat, Jan 20",vs. OKC,"L, 102-97",19,2,4,50.0,1,3,33.3,0,0,0.0,1,0,1,4,0,1,0,2,5
"Thu, Jan 18",vs. MEM,"W, 103-118",15,1,3,33.3,0,0,0.0,2,2,100.0,0,3,3,3,1,1,0,3,4
"Wed, Jan 17",@ DET,"W, 124-117",22,2,6,33.3,0,0,0.0,0,0,0.0,0,3,3,9,1,1,2,2,4
"Sun, Jan 14",vs. LAC,"W, 105-109",27,4,6,66.7,1,1,100.0,1,3,33.3,0,1,1,3,0,1,0,4,10
"Fri, Jan 12",vs. POR,"W, 93-116",15,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,1,2,0,0,2,2
