Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. LAC,"L, 125-109",29,11,22,50.0,2,4,50.0,3,3,100.0,0,2,2,0,2,0,1,2,27
"Mon, Jan 29",@ SAS,"W, 118-113",32,7,18,38.9,0,4,0.0,4,4,100.0,2,9,11,5,2,0,2,2,18
"Sat, Jan 27",@ DET,"W, 118-104",32,13,27,48.1,3,13,23.1,1,2,50.0,0,6,6,4,1,1,1,1,30
"Thu, Jan 25",vs. UTH,"L, 123-108",34,12,24,50.0,1,8,12.5,1,1,100.0,2,4,6,5,5,0,0,0,26
"Wed, Jan 24",vs. MIN,"L, 118-107",35,5,11,45.5,3,8,37.5,4,4,100.0,0,14,14,8,5,0,1,4,17
"Sun, Jan 21",vs. DEN,"L, 113-104",33,7,13,53.8,2,4,50.0,1,2,50.0,0,6,6,7,3,0,2,5,17
"Sat, Jan 20",vs. SAS,"L, 131-127",29,5,14,35.7,0,4,0.0,1,1,100.0,3,9,12,6,2,1,0,0,11
"Thu, Jan 18",@ NYK,"L, 109-113",38,7,16,43.8,1,5,20.0,0,0,0.0,0,6,6,5,3,2,1,2,15
"Mon, Jan 15",vs. DET,"L, 129-117",33,7,21,33.3,3,9,33.3,4,4,100.0,0,8,8,4,0,3,2,2,21
"Sat, Jan 13",@ ATL,"W, 127-99",27,10,20,50.0,3,5,60.0,6,7,85.7,3,3,6,4,2,0,1,0,29
"Wed, Jan 10",@ IND,"L, 104-112",34,4,15,26.7,0,4,0.0,3,3,100.0,3,8,11,5,4,2,0,0,11
