Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sun, Jan 21",@ ORL,"L, 87-105",25,1,9,11.1,0,6,0.0,0,0,0.0,1,1,2,3,0,2,1,2,2
"Fri, Jan 19",vs. ATL,"L, 109-108",24,1,4,25.0,0,3,0.0,0,0,0.0,1,2,3,4,1,1,0,2,2
"Wed, Jan 17",@ TOR,"L, 97-121",29,2,9,22.2,0,6,0.0,0,0,0.0,1,1,2,3,1,0,1,2,4
"Mon, Jan 15",@ BKN,"W, 96-95",24,1,5,20.0,0,2,0.0,0,0,0.0,0,4,4,5,1,1,0,3,2
"Sun, Jan 14",vs. CHA,"W, 87-104",26,0,3,0.0,0,1,0.0,0,0,0.0,0,4,4,3,2,0,1,1,0
"Mon, Jan 8",vs. HOU,"W, 113-120",16,2,3,66.7,1,1,100.0,1,2,50.0,1,2,3,1,1,0,2,1,6
"Fri, Jan 5",@ PHO,"L, 97-113",23,2,7,28.6,2,6,33.3,0,0,0.0,1,2,3,4,4,0,0,2,6
"Wed, Jan 3",@ LAL,"W, 110-96",26,3,6,50.0,2,5,40.0,2,2,100.0,0,3,3,6,1,4,0,2,10
"Mon, Jan 1",@ LAC,"L, 104-121",24,3,5,60.0,0,1,0.0,2,2,100.0,1,0,1,3,3,0,0,3,8
"Mon, Dec 25",vs. PHI,"W, 113-119",33,5,7,71.4,1,3,33.3,1,1,100.0,0,1,1,4,3,1,2,4,12
"Fri, Dec 22",vs. ATL,"W, 113-122",22,1,2,50.0,1,2,50.0,0,0,0.0,0,4,4,3,2,0,0,2,3
