Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Mon, Jan 22",vs. BOS,"L, 119-110",36,9,20,45.0,3,7,42.9,2,2,100.0,0,6,6,3,1,2,0,3,23
"Wed, Jan 17",@ LAL,"L, 110-127",32,4,16,25.0,1,5,20.0,3,3,100.0,0,5,5,6,2,0,0,2,12
"Mon, Jan 15",vs. NOR,"W, 120-125",41,13,28,46.4,3,9,33.3,13,15,86.7,0,7,7,7,3,0,1,1,42
"Sat, Jan 13",vs. NOR,"L, 118-108",40,12,27,44.4,5,14,35.7,4,4,100.0,0,5,5,6,1,1,0,2,33
"Thu, Jan 11",vs. NYK,"W, 124-128",40,15,26,57.7,6,10,60.0,8,9,88.9,0,4,4,10,5,2,0,3,44
"Tue, Jan 9",vs. MEM,"L, 120-103",40,11,25,44.0,2,7,28.6,9,10,90.0,4,4,8,4,3,4,1,3,33
"Sun, Jan 7",vs. MIN,"W, 108-115",39,14,27,51.9,6,8,75.0,1,1,100.0,5,3,8,5,3,3,2,2,35
"Fri, Jan 5",vs. POR,"W, 103-139",29,10,18,55.6,3,7,42.9,1,1,100.0,0,9,9,5,1,2,2,0,24
"Wed, Jan 3",vs. POR,"W, 97-126",29,10,19,52.6,4,8,50.0,5,6,83.3,1,8,9,5,1,2,0,0,29
"Mon, Jan 1",@ UTH,"L, 90-127",32,6,14,42.9,2,3,66.7,0,1,0.0,1,8,9,4,1,0,1,3,14
"Fri, Dec 8",@ POR,"W, 125-112",13,4,6,66.7,0,0,0.0,3,3,100.0,0,2,2,2,0,1,0,1,11
