Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sat, Jan 27",vs. LAC,"L, 115-96",8,3,4,75.0,0,0,0.0,2,3,66.7,3,2,5,1,1,0,0,0,8
"Thu, Jan 25",@ MIA,"W, 143-110",4,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,2
"Wed, Jan 17",vs. SAS,"W, 98-117",5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,1,0,0,0
"Sat, Jan 13",vs. HOU,"W, 113-145",7,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0
"Thu, Jan 11",@ MIL,"L, 102-135",19,1,6,16.7,0,0,0.0,3,4,75.0,1,3,4,0,0,0,1,2,5
"Fri, Jan 5",vs. UTH,"W, 97-126",12,2,4,50.0,0,1,0.0,0,0,0.0,1,4,5,0,1,1,1,1,4
"Sun, Dec 31",@ SAS,"W, 134-101",7,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,0,2
"Sat, Dec 23",@ LAC,"W, 145-108",5,2,3,66.7,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,4
"Wed, Dec 20",@ SAC,"W, 144-119",2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
"Sun, Dec 17",vs. ORL,"W, 97-114",2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
"Fri, Dec 15",vs. ORL,"W, 111-128",14,3,7,42.9,1,3,33.3,1,2,50.0,1,2,3,0,1,2,1,2,8
