Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ HOU,"W, 110-99",15,0,3,0.0,0,2,0.0,0,0,0.0,1,4,5,3,0,1,0,3,0
"Mon, Jan 29",@ BOS,"L, 112-118",20,1,3,33.3,1,2,50.0,0,0,0.0,1,2,3,1,0,0,1,0,3
"Sat, Jan 27",@ MIL,"L, 117-141",18,3,6,50.0,2,3,66.7,2,2,100.0,2,3,5,0,0,0,0,2,10
"Fri, Jan 26",vs. OKC,"L, 107-83",22,2,3,66.7,0,0,0.0,0,0,0.0,1,4,5,3,0,1,1,1,4
"Tue, Jan 23",vs. UTH,"W, 124-153",20,5,6,83.3,1,2,50.0,1,1,100.0,0,8,8,3,1,1,1,2,12
"Fri, Jan 19",vs. PHO,"L, 123-109",18,1,2,50.0,1,2,50.0,0,0,0.0,0,5,5,1,0,0,0,1,3
"Wed, Jan 17",vs. CHA,"W, 112-132",19,3,3,100.0,1,1,100.0,0,0,0.0,2,4,6,2,0,0,1,1,7
"Mon, Jan 15",@ DAL,"L, 120-125",26,5,11,45.5,1,4,25.0,3,3,100.0,1,7,8,2,1,3,0,1,14
"Sat, Jan 13",@ DAL,"W, 118-108",20,4,4,100.0,0,0,0.0,6,6,100.0,1,1,2,3,0,2,0,0,14
"Fri, Jan 12",@ DEN,"L, 113-125",20,5,6,83.3,3,4,75.0,0,0,0.0,0,2,2,1,1,2,1,1,13
"Wed, Jan 10",@ GSW,"W, 141-105",19,1,1,100.0,1,1,100.0,3,4,75.0,1,4,5,1,1,2,1,0,6
