Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. PHO,"L, 136-120",31,7,16,43.8,3,8,37.5,2,2,100.0,1,2,3,7,2,4,0,4,19
"Mon, Jan 29",vs. UTH,"W, 114-147",27,7,14,50.0,4,9,44.4,1,2,50.0,1,1,2,4,0,1,1,2,19
"Sat, Jan 27",vs. HOU,"W, 104-106",14,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,0,0,1,0,1,0
"Thu, Jan 25",vs. MIN,"L, 96-94",14,1,5,20.0,0,3,0.0,0,0,0.0,0,0,0,1,2,1,0,2,2
"Tue, Jan 23",vs. NYK,"L, 108-103",12,2,8,25.0,1,5,20.0,0,0,0.0,1,0,1,0,0,0,0,0,5
"Sun, Jan 21",@ LAC,"L, 114-125",10,3,4,75.0,2,2,100.0,0,0,0.0,0,2,2,0,0,2,0,3,8
"Fri, Jan 19",@ LAL,"W, 130-112",13,6,7,85.7,3,4,75.0,0,0,0.0,0,1,1,3,1,0,0,2,15
"Wed, Jan 17",@ POR,"L, 103-105",19,5,10,50.0,3,7,42.9,0,0,0.0,0,1,1,0,1,1,0,0,13
"Mon, Jan 15",vs. MIA,"L, 96-95",9,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,0,1,1,0
"Thu, Jan 11",@ CLE,"L, 102-111",25,8,12,66.7,4,5,80.0,0,0,0.0,1,2,3,2,1,1,1,3,20
"Sun, Jan 7",vs. POR,"L, 134-127",6,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0
