Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Mon, Jan 29",vs. ORL,"W, 129-131",43,12,23,52.2,3,8,37.5,18,21,85.7,0,9,9,15,4,2,0,4,45
"Sat, Jan 27",vs. SAC,"L, 120-115",46,9,26,34.6,1,9,11.1,9,12,75.0,2,8,10,17,3,2,1,3,28
"Fri, Jan 26",@ ATL,"W, 148-143",45,25,33,75.8,8,13,61.5,15,16,93.8,0,10,10,7,4,1,0,1,73
"Wed, Jan 24",vs. PHO,"L, 132-109",39,11,24,45.8,4,11,36.4,8,12,66.7,1,7,8,9,5,1,2,1,34
"Mon, Jan 22",vs. BOS,"L, 119-110",40,12,30,40.0,2,8,25.0,7,11,63.6,5,13,18,13,3,2,0,5,33
"Wed, Jan 17",@ LAL,"L, 110-127",36,12,24,50.0,2,9,22.2,7,9,77.8,0,13,13,10,4,2,2,2,33
"Tue, Jan 9",vs. MEM,"L, 120-103",36,9,21,42.9,2,8,25.0,11,15,73.3,0,6,6,6,3,3,0,1,31
"Sun, Jan 7",vs. MIN,"W, 108-115",39,12,26,46.2,5,12,41.7,5,8,62.5,0,6,6,8,3,1,0,3,34
"Wed, Jan 3",vs. POR,"W, 97-126",31,13,21,61.9,4,7,57.1,11,14,78.6,0,6,6,5,4,1,0,1,41
"Mon, Jan 1",@ UTH,"L, 90-127",34,6,20,30.0,3,13,23.1,4,6,66.7,0,6,6,14,4,1,0,1,19
"Sat, Dec 30",@ GSW,"W, 132-122",38,14,29,48.3,5,13,38.5,6,7,85.7,0,8,8,10,4,1,1,3,39
