Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DAL,"W, 87-121",5,3,5,60.0,1,1,100.0,1,2,50.0,1,0,1,0,0,0,0,1,8
"Wed, Jan 24",@ WAS,"W, 118-107",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Thu, Jan 18",vs. MEM,"W, 103-118",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Fri, Jan 5",@ HOU,"W, 122-95",3,1,4,25.0,0,2,0.0,0,0,0.0,1,0,1,0,1,0,0,1,2
"Wed, Dec 20",@ PHI,"L, 113-127",2,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0
"Fri, Dec 8",@ MEM,"W, 127-103",3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0
"Wed, Nov 22",vs. PHI,"W, 99-112",2,0,1,0.0,0,1,0.0,1,2,50.0,0,1,1,0,1,0,0,0,1
"Wed, Nov 15",@ PHO,"L, 115-133",5,1,4,25.0,0,1,0.0,3,4,75.0,2,0,2,0,0,0,0,0,5
"Wed, Nov 8",vs. NOR,"W, 101-122",5,2,4,50.0,0,0,0.0,1,2,50.0,1,1,2,0,0,0,0,3,5
"Mon, Oct 30",@ ATL,"L, 113-127",1,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2
