Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Mon, Jan 29",@ BKN,"L, 114-147",8,1,1,100.0,0,0,0.0,3,4,75.0,0,1,1,0,0,0,1,1,5
"Thu, Jan 25",@ WAS,"W, 123-108",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Tue, Jan 23",@ NOR,"L, 124-153",5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Mon, Jan 15",vs. IND,"W, 105-132",3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0
"Fri, Jan 12",vs. TOR,"W, 113-145",6,1,2,50.0,0,0,0.0,2,2,100.0,0,1,1,0,1,0,0,2,4
"Wed, Jan 10",vs. DEN,"W, 111-124",3,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,1,0,0,0,0,1
"Fri, Jan 5",@ BOS,"L, 97-126",12,1,3,33.3,0,1,0.0,4,5,80.0,2,3,5,0,2,0,0,0,6
"Mon, Jan 1",vs. DAL,"W, 90-127",4,1,4,25.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2
"Tue, Dec 26",@ SAS,"W, 130-118",2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Thu, Dec 21",@ DET,"W, 119-111",10,0,5,0.0,0,1,0.0,2,2,100.0,1,4,5,0,0,0,0,1,2
"Mon, Dec 18",vs. BKN,"W, 108-125",2,2,2,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,1,5
