Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Fri, Jan 26",vs. ORL,"W, 106-107",30,5,11,45.5,5,10,50.0,0,0,0.0,0,5,5,6,3,1,0,1,15
"Mon, Jan 22",@ TOR,"W, 108-100",35,7,18,38.9,5,13,38.5,0,1,0.0,0,3,3,7,3,0,0,1,19
"Sat, Jan 20",@ CHI,"L, 96-125",30,5,9,55.6,4,7,57.1,0,1,0.0,0,2,2,6,3,0,0,0,14
"Thu, Jan 18",@ MIN,"L, 103-118",31,6,9,66.7,5,7,71.4,1,1,100.0,0,2,2,2,1,1,0,1,18
"Mon, Jan 15",vs. GSW,"W, 107-116",32,2,9,22.2,2,7,28.6,5,5,100.0,1,1,2,5,1,1,0,1,11
"Sat, Jan 13",vs. NYK,"L, 106-94",33,6,13,46.2,2,8,25.0,0,0,0.0,0,3,3,2,0,0,0,2,14
"Fri, Jan 12",vs. LAC,"L, 128-119",29,4,7,57.1,3,5,60.0,0,0,0.0,1,6,7,6,1,0,0,2,11
"Tue, Jan 9",@ DAL,"W, 120-103",23,5,7,71.4,3,4,75.0,1,1,100.0,1,4,5,4,2,1,0,2,14
"Sun, Jan 7",@ PHO,"W, 121-115",22,3,5,60.0,3,3,100.0,0,0,0.0,0,3,3,3,0,0,0,2,9
"Fri, Jan 5",@ LAL,"W, 127-113",20,0,4,0.0,0,3,0.0,0,0,0.0,1,2,3,4,0,1,0,0,0
"Wed, Jan 3",vs. TOR,"L, 116-111",19,1,5,20.0,0,4,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2
