Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. MIL,"W, 116-119",36,5,12,41.7,2,6,33.3,2,2,100.0,1,5,6,6,3,1,0,3,14
"Mon, Jan 29",vs. PHI,"W, 104-130",32,10,14,71.4,3,5,60.0,1,1,100.0,0,5,5,9,3,1,1,2,24
"Sun, Jan 28",vs. CHI,"L, 104-96",38,4,13,30.8,1,6,16.7,7,7,100.0,2,4,6,6,2,2,0,2,16
"Wed, Jan 24",@ HOU,"W, 137-131",41,8,19,42.1,3,7,42.9,0,0,0.0,1,1,2,6,2,0,0,2,19
"Tue, Jan 23",@ OKC,"L, 109-111",35,5,12,41.7,2,4,50.0,6,6,100.0,0,2,2,7,7,0,1,2,18
"Sun, Jan 21",@ LAL,"L, 110-134",33,8,17,47.1,3,4,75.0,4,5,80.0,1,6,7,9,1,0,1,3,23
"Fri, Jan 19",vs. IND,"W, 115-118",37,9,18,50.0,2,4,50.0,10,10,100.0,1,6,7,6,1,1,1,3,30
"Wed, Jan 17",vs. BKN,"W, 103-105",30,6,12,50.0,2,6,33.3,2,2,100.0,0,5,5,6,0,1,0,2,16
"Fri, Jan 12",@ MIN,"L, 93-116",26,2,7,28.6,2,5,40.0,3,4,75.0,0,2,2,3,1,0,0,1,9
"Tue, Jan 9",@ NYK,"L, 84-112",13,1,5,20.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,2,2
"Sun, Jan 7",@ BKN,"W, 134-127",22,5,8,62.5,4,6,66.7,4,4,100.0,1,2,3,2,0,0,0,0,18
