Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIA,"L, 106-115",14,3,8,37.5,0,4,0.0,0,0,0.0,0,0,0,0,3,0,0,2,6
"Mon, Jan 29",@ MEM,"W, 103-94",20,1,6,16.7,1,4,25.0,0,0,0.0,0,3,3,5,3,1,0,1,3
"Sat, Jan 27",@ DAL,"W, 120-115",20,2,5,40.0,0,2,0.0,5,7,71.4,0,3,3,6,3,0,0,0,9
"Thu, Jan 25",@ GSW,"W, 134-133",19,2,5,40.0,0,2,0.0,0,0,0.0,1,1,2,3,3,0,0,3,4
"Mon, Jan 22",vs. ATL,"W, 107-122",25,4,6,66.7,0,1,0.0,5,5,100.0,0,1,1,8,1,1,0,3,13
"Thu, Jan 18",vs. IND,"L, 126-121",26,3,9,33.3,2,6,33.3,1,6,16.7,1,2,3,4,1,1,2,3,9
"Tue, Jan 16",@ PHO,"L, 117-119",29,5,16,31.3,2,7,28.6,1,1,100.0,0,3,3,8,5,0,1,2,13
"Sun, Jan 14",@ MIL,"L, 142-143",36,9,21,42.9,4,9,44.4,6,10,60.0,1,6,7,7,1,0,0,1,28
"Fri, Jan 12",@ PHI,"L, 93-112",27,5,17,29.4,0,7,0.0,5,6,83.3,0,1,1,4,2,2,1,1,15
"Wed, Jan 10",@ CHA,"W, 123-98",30,6,13,46.2,1,5,20.0,7,7,100.0,0,4,4,4,1,0,2,0,20
"Tue, Jan 9",@ DET,"W, 131-110",28,9,15,60.0,2,6,33.3,0,0,0.0,0,2,2,9,3,1,2,5,20
