GAME,MIN,REB,AST,TO,STL,BLK,PF,PTS,W,L,Diff,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate
0,22,2,0,3,0,0,1,9,15.0,33.0,-9.4,109.4,50.8%,15.0%,29.7%,19.1,118.7,56.8%,14.7%,29.1%,21.5
1,33,4,2,1,0,0,2,17,33.0,16.0,4.1,118.9,56.2%,13.0%,29.2%,18.0,114.7,53.6%,12.5%,26.7%,20.5
2,14,0,0,0,0,0,0,0,10.0,37.0,-11.9,110.6,52.9%,13.9%,25.9%,17.0,122.5,58.6%,13.8%,27.5%,21.3
3,26,9,0,2,0,0,1,10,26.0,23.0,0.8,113.3,53.2%,14.6%,29.0%,23.1,112.5,54.9%,15.7%,25.7%,21.4
4,19,2,0,0,0,0,3,7,33.0,16.0,4.1,118.9,56.2%,13.0%,29.2%,18.0,114.7,53.6%,12.5%,26.7%,20.5
5,14,5,1,0,0,0,1,8,23.0,25.0,2.7,115.0,53.6%,12.6%,26.4%,20.7,112.3,53.0%,13.7%,26.3%,22.6
6,17,4,0,1,0,0,0,0,28.0,19.0,0.1,117.6,56.5%,13.4%,26.4%,17.9,117.5,56.6%,13.8%,24.9%,21.6
7,26,4,1,1,0,0,3,17,21.0,27.0,-1.9,118.6,54.1%,13.3%,30.6%,21.7,120.4,58.0%,14.2%,28.2%,19.9
8,28,6,1,0,2,2,2,15,24.0,26.0,-3.2,116.3,54.5%,15.7%,32.1%,20.8,119.5,56.1%,12.2%,27.3%,18.7
9,16,0,1,0,0,0,0,0,32.0,17.0,6.8,119.8,54.5%,13.5%,32.8%,21.2,113.0,54.3%,13.4%,25.0%,17.7
10,11,2,0,1,1,0,0,2,23.0,26.0,-2.0,114.1,53.4%,12.6%,27.7%,18.4,116.1,55.6%,14.6%,27.4%,20.1
