Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 9",@ DAL,"W, 120-103",21,9,16,56.3,4,8,50.0,1,1,100.0,0,4,4,1,1,2,0,0,23
"Sun, Jan 7",@ PHO,"W, 121-115",38,9,20,45.0,4,13,30.8,3,5,60.0,0,6,6,8,5,3,0,2,25
"Fri, Jan 5",@ LAL,"W, 127-113",39,9,16,56.3,8,14,57.1,3,4,75.0,1,1,2,5,3,1,0,2,29
"Wed, Jan 3",vs. TOR,"L, 116-111",33,2,10,20.0,0,5,0.0,2,3,66.7,0,5,5,2,3,1,0,4,6
"Tue, Jan 2",vs. SAS,"W, 98-106",30,1,7,14.3,0,4,0.0,3,4,75.0,1,1,2,3,3,0,0,3,5
"Sun, Dec 31",vs. SAC,"L, 123-92",31,4,11,36.4,0,4,0.0,4,7,57.1,0,1,1,2,2,3,0,2,12
"Fri, Dec 29",@ LAC,"L, 106-117",32,7,14,50.0,4,11,36.4,4,4,100.0,0,2,2,2,2,3,0,0,22
"Thu, Dec 28",@ DEN,"L, 105-142",23,6,14,42.9,2,6,33.3,3,4,75.0,1,2,3,5,3,1,0,1,17
"Tue, Dec 26",@ NOR,"W, 116-115",29,4,10,40.0,2,8,25.0,3,3,100.0,0,1,1,3,3,5,1,4,13
"Tue, Nov 14",@ LAL,"L, 107-134",8,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,1,0,1,1,0,3
"Sun, Nov 12",@ LAC,"W, 105-101",36,5,12,41.7,3,7,42.9,4,4,100.0,0,3,3,7,5,0,0,3,17
