Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. LAC,"L, 125-109",18,5,7,71.4,0,0,0.0,0,0,0.0,3,5,8,2,1,0,0,1,10
"Mon, Jan 29",@ SAS,"W, 118-113",20,5,6,83.3,0,0,0.0,5,6,83.3,0,3,3,1,5,0,0,3,15
"Sat, Jan 27",@ DET,"W, 118-104",20,3,7,42.9,0,0,0.0,7,8,87.5,5,3,8,2,3,1,0,4,13
"Thu, Jan 25",vs. UTH,"L, 123-108",16,4,5,80.0,0,0,0.0,6,9,66.7,1,2,3,1,1,0,0,2,14
"Wed, Jan 24",vs. MIN,"L, 118-107",26,7,8,87.5,0,0,0.0,3,8,37.5,6,9,15,0,1,1,0,3,17
"Sun, Jan 21",vs. DEN,"L, 113-104",18,5,9,55.6,0,0,0.0,4,4,100.0,5,2,7,1,0,0,0,3,14
"Sat, Jan 20",vs. SAS,"L, 131-127",36,8,19,42.1,1,3,33.3,4,4,100.0,7,5,12,2,2,1,0,5,21
"Thu, Jan 18",@ NYK,"L, 109-113",39,10,16,62.5,0,0,0.0,0,5,0.0,6,5,11,2,3,2,3,3,20
"Fri, Jan 12",vs. HOU,"L, 112-110",12,4,6,66.7,0,0,0.0,3,4,75.0,1,3,4,1,0,1,0,2,11
"Mon, Jan 1",@ HOU,"L, 113-136",9,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,2,0,1,0,0,2
"Sat, Dec 23",@ BKN,"L, 115-126",15,2,4,50.0,0,0,0.0,1,2,50.0,2,3,5,0,1,0,0,0,5
