Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sat, Nov 18",vs. MIN,"L, 121-120",27,3,5,60.0,3,4,75.0,1,1,100.0,0,3,3,1,3,1,0,1,10
"Fri, Nov 17",vs. DEN,"W, 110-115",19,3,7,42.9,3,5,60.0,0,1,0.0,0,0,0,0,0,0,0,0,9
"Tue, Nov 14",vs. DAL,"W, 110-131",20,2,7,28.6,2,5,40.0,0,0,0.0,0,2,2,0,0,1,0,0,6
"Sun, Nov 12",vs. DAL,"L, 136-124",27,5,7,71.4,4,6,66.7,0,0,0.0,3,3,6,2,0,0,0,3,14
"Fri, Nov 10",@ HOU,"L, 101-104",16,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,1,1,0,2,0
"Wed, Nov 8",@ MIN,"L, 101-122",26,2,5,40.0,2,4,50.0,6,6,100.0,0,4,4,1,5,0,0,4,12
"Mon, Nov 6",@ DEN,"L, 116-134",25,5,8,62.5,4,6,66.7,3,3,100.0,0,0,0,1,0,0,0,3,17
"Sat, Nov 4",vs. ATL,"L, 123-105",17,1,4,25.0,0,3,0.0,2,2,100.0,1,1,2,1,1,0,0,2,4
"Thu, Nov 2",vs. DET,"W, 116-125",35,7,10,70.0,6,8,75.0,0,0,0.0,0,2,2,2,3,0,0,0,20
"Wed, Nov 1",@ OKC,"W, 110-106",20,2,6,33.3,1,5,20.0,0,0,0.0,0,3,3,0,1,0,0,2,5
"Mon, Oct 30",vs. GSW,"L, 130-102",27,4,9,44.4,3,7,42.9,1,1,100.0,1,1,2,2,2,1,0,2,12
