Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ BOS,"W, 114-105",23,3,7,42.9,1,3,33.3,2,2,100.0,0,4,4,2,1,1,0,1,9
"Tue, Jan 30",@ ATL,"L, 122-138",11,2,2,100.0,1,1,100.0,0,0,0.0,0,1,1,0,1,0,1,1,5
"Mon, Jan 29",@ HOU,"L, 119-135",20,3,6,50.0,1,2,50.0,0,0,0.0,0,6,6,1,0,0,1,0,7
"Sat, Jan 27",@ GSW,"W, 145-144",8,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2
"Thu, Jan 25",vs. CHI,"W, 132-141",9,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,1,1,1,0,0,2
"Tue, Jan 23",@ LAC,"L, 116-127",10,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sun, Jan 21",vs. POR,"W, 110-134",22,1,7,14.3,0,3,0.0,2,2,100.0,0,1,1,2,2,0,1,3,4
"Fri, Jan 19",vs. BKN,"L, 130-112",19,2,3,66.7,2,3,66.7,0,0,0.0,0,2,2,1,1,0,0,1,6
"Wed, Jan 17",vs. DAL,"W, 110-127",14,2,2,100.0,1,1,100.0,0,0,0.0,0,2,2,0,0,0,0,0,5
"Mon, Jan 15",vs. OKC,"W, 105-112",11,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,0,1,0
"Sat, Jan 13",@ UTH,"L, 125-132",14,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,3,0,1,0,3,3
