Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIN,"L, 87-121",18,1,2,50.0,1,1,100.0,0,0,0.0,0,2,2,0,2,0,1,5,3
"Mon, Jan 29",vs. ORL,"W, 129-131",22,0,1,0.0,0,0,0.0,1,2,50.0,0,1,1,1,1,0,0,1,1
"Sat, Jan 27",vs. SAC,"L, 120-115",13,2,6,33.3,1,3,33.3,0,0,0.0,1,1,2,0,0,0,0,0,5
"Wed, Jan 24",vs. PHO,"L, 132-109",22,1,2,50.0,0,1,0.0,0,0,0.0,2,1,3,3,1,0,0,3,2
"Mon, Jan 22",vs. BOS,"L, 119-110",26,3,7,42.9,0,3,0.0,1,1,100.0,0,2,2,0,1,0,2,2,7
"Wed, Jan 17",@ LAL,"L, 110-127",21,2,3,66.7,2,3,66.7,0,0,0.0,1,0,1,3,1,0,2,5,6
"Mon, Jan 15",vs. NOR,"W, 120-125",19,1,3,33.3,0,2,0.0,2,2,100.0,0,5,5,1,1,0,2,5,4
"Sat, Jan 13",vs. NOR,"L, 118-108",11,1,3,33.3,0,2,0.0,0,0,0.0,1,1,2,1,1,1,0,0,2
"Wed, Nov 8",vs. TOR,"L, 127-116",15,0,0,0.0,0,0,0.0,4,8,50.0,0,2,2,4,2,0,0,2,4
"Wed, Nov 1",vs. CHI,"W, 105-114",4,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0
"Mon, Oct 30",@ MEM,"W, 125-110",22,2,4,50.0,1,3,33.3,2,2,100.0,1,4,5,2,2,1,0,2,7
