Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DAL,"W, 87-121",25,4,6,66.7,2,3,66.7,0,0,0.0,0,4,4,3,1,1,1,2,10
"Thu, Jan 25",@ BKN,"W, 96-94",33,3,6,50.0,2,4,50.0,2,2,100.0,0,2,2,4,1,2,1,1,10
"Sat, Jan 20",vs. OKC,"L, 102-97",29,1,11,9.1,1,9,11.1,0,0,0.0,0,3,3,4,3,0,1,3,3
"Thu, Jan 18",vs. MEM,"W, 103-118",30,7,11,63.6,3,6,50.0,0,0,0.0,2,2,4,10,0,2,0,1,17
"Wed, Jan 17",@ DET,"W, 124-117",29,3,8,37.5,2,6,33.3,0,1,0.0,0,3,3,7,1,1,1,0,8
"Sun, Jan 14",vs. LAC,"W, 105-109",32,2,7,28.6,2,6,33.3,0,0,0.0,1,1,2,5,2,1,0,2,6
"Fri, Jan 12",vs. POR,"W, 93-116",20,3,7,42.9,3,5,60.0,0,0,0.0,0,4,4,10,0,0,0,1,9
"Tue, Jan 9",@ ORL,"W, 113-92",31,3,8,37.5,3,6,50.0,2,2,100.0,0,3,3,10,1,2,0,3,11
"Sun, Jan 7",@ DAL,"L, 108-115",32,3,7,42.9,3,6,50.0,0,0,0.0,0,1,1,7,2,0,0,1,9
"Fri, Jan 5",@ HOU,"W, 122-95",25,3,8,37.5,2,5,40.0,0,0,0.0,0,2,2,5,0,0,0,3,8
"Wed, Jan 3",vs. NOR,"L, 117-106",26,3,5,60.0,1,3,33.3,0,0,0.0,0,0,0,9,0,1,0,1,7
