GAME,MIN,REB,AST,TO,STL,BLK,PF,PTS,W,L,Diff,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate
0,4,1,0,0,0,0,1,3,30.0,16.0,4.5,115.9,55.2%,13.7%,28.1%,18.6,111.4,53.0%,14.7%,26.5%,21.0
1,11,3,0,0,0,0,0,3,34.0,15.0,8.4,120.5,57.8%,12.3%,23.9%,21.2,112.1,52.5%,15.8%,30.7%,21.4
2,12,1,1,0,0,1,3,0,9.0,39.0,-9.8,111.9,54.4%,13.3%,22.2%,17.9,121.8,56.6%,13.6%,32.1%,20.1
3,13,5,1,0,0,0,1,5,10.0,37.0,-11.9,110.6,52.9%,13.9%,25.9%,17.0,122.5,58.6%,13.8%,27.5%,21.3
4,16,4,1,0,0,1,2,3,32.0,16.0,3.4,120.9,57.6%,12.5%,25.1%,23.4,117.5,54.2%,11.4%,26.3%,19.4
5,14,1,1,1,1,0,2,13,32.0,16.0,3.4,120.9,57.6%,12.5%,25.1%,23.4,117.5,54.2%,11.4%,26.3%,19.4
6,15,3,2,0,0,2,0,0,34.0,15.0,6.9,115.9,56.9%,15.3%,26.0%,22.0,109.1,51.5%,14.5%,26.3%,19.4
7,11,4,0,1,0,0,4,4,27.0,23.0,1.1,121.7,58.2%,13.4%,28.3%,18.0,120.7,56.7%,13.7%,29.7%,24.3
8,8,1,0,1,1,0,1,0,34.0,15.0,8.4,120.5,57.8%,12.3%,23.9%,21.2,112.1,52.5%,15.8%,30.7%,21.4
9,14,6,0,1,0,0,0,1,32.0,17.0,6.8,119.8,54.5%,13.5%,32.8%,21.2,113.0,54.3%,13.4%,25.0%,17.7
10,18,6,0,1,0,0,2,0,30.0,16.0,4.5,115.9,55.2%,13.7%,28.1%,18.6,111.4,53.0%,14.7%,26.5%,21.0
