Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. CHI,"L, 117-110",41,11,20,55.0,6,13,46.2,2,2,100.0,2,13,15,5,0,1,3,1,30
"Mon, Jan 29",vs. NYK,"L, 113-92",39,10,20,50.0,1,6,16.7,0,2,0.0,1,9,10,5,3,3,1,2,21
"Sat, Jan 27",vs. UTH,"L, 134-122",41,8,19,42.1,3,8,37.5,2,2,100.0,1,8,9,6,1,2,2,2,21
"Fri, Jan 26",vs. HOU,"L, 138-104",36,7,11,63.6,2,4,50.0,5,5,100.0,1,6,7,3,4,1,0,1,21
"Wed, Jan 24",@ DET,"L, 106-113",41,7,21,33.3,3,9,33.3,3,4,75.0,0,10,10,2,3,2,0,1,20
"Mon, Jan 22",@ MIN,"W, 128-125",40,10,23,43.5,3,10,30.0,5,5,100.0,1,4,5,2,1,1,0,2,28
"Sat, Jan 20",vs. PHI,"L, 97-89",40,9,22,40.9,5,10,50.0,2,2,100.0,0,11,11,3,2,0,1,2,25
"Fri, Jan 19",vs. SAS,"W, 120-124",39,10,15,66.7,2,2,100.0,1,1,100.0,0,6,6,3,2,0,1,3,23
"Wed, Jan 17",@ NOR,"L, 112-132",35,8,20,40.0,3,7,42.9,0,0,0.0,0,4,4,3,2,0,0,1,19
"Sun, Jan 14",@ MIA,"L, 87-104",38,8,17,47.1,1,7,14.3,3,3,100.0,1,6,7,1,3,1,0,0,20
"Fri, Jan 12",@ SAS,"L, 99-135",33,4,13,30.8,1,4,25.0,5,5,100.0,1,8,9,0,1,1,0,1,14
